f1,f2,f3,f4,f5,pitch,roll
1.0,0.456,0.893,1.0,1.0,75.58,-10.76
1.0,0.456,0.896,1.0,1.0,74.77,-13.44
1.0,0.456,0.898,1.0,1.0,75.08,-12.62
1.0,0.456,0.901,1.0,1.0,74.42,-13.21
1.0,0.444,0.901,1.0,1.0,77.38,-10.49
1.0,0.422,0.898,1.0,1.0,76.93,-10.65
1.0,0.411,0.898,1.0,1.0,77.52,-10.07
1.0,0.411,0.896,1.0,1.0,75.55,-10.67
1.0,0.4,0.896,1.0,1.0,75.17,-11.95
1.0,0.4,0.896,1.0,1.0,76.2,-9.93
1.0,0.389,0.893,1.0,1.0,74.67,-11.59
1.0,0.378,0.893,1.0,1.0,72.19,-13.3
1.0,0.378,0.893,1.0,1.0,72.94,-12.73
1.0,0.378,0.893,1.0,1.0,73.68,-11.81
1.0,0.367,0.893,1.0,1.0,69.91,-16.58
1.0,0.367,0.89,1.0,1.0,71.87,-16.8
1.0,0.367,0.89,1.0,1.0,71.35,-11.65
1.0,0.367,0.89,1.0,1.0,75.46,-11.17
1.0,0.367,0.89,1.0,1.0,77.54,-10.45
1.0,0.367,0.89,1.0,1.0,74.84,-9.45
1.0,0.367,0.89,1.0,1.0,69.26,-20.73
1.0,0.378,0.89,1.0,1.0,78.01,-10.07
1.0,0.367,0.89,1.0,1.0,71.71,-13.95
1.0,0.367,0.888,1.0,1.0,71.71,-17.78
1.0,0.367,0.888,1.0,1.0,69.56,-17.92
1.0,0.378,0.888,1.0,1.0,75.32,-12.86
1.0,0.367,0.888,1.0,1.0,73.15,-13.27
1.0,0.356,0.888,1.0,1.0,74.86,-12.97
1.0,0.356,0.89,1.0,1.0,76.05,-10.64
1.0,0.344,0.89,1.0,1.0,74.36,-11.4
1.0,0.367,0.89,1.0,1.0,75.17,-9.85
1.0,0.367,0.888,1.0,1.0,73.31,-12.15
1.0,0.356,0.888,1.0,1.0,72.62,-9.22
1.0,0.356,0.888,1.0,1.0,70.61,-11.69
1.0,0.356,0.888,1.0,1.0,71.4,-12.0
1.0,0.356,0.89,1.0,1.0,72.75,-11.14
1.0,0.356,0.89,1.0,1.0,71.35,-10.65
1.0,0.356,0.89,1.0,1.0,73.24,-6.85
1.0,0.356,0.89,1.0,1.0,71.66,-9.68
1.0,0.356,0.89,1.0,1.0,71.53,-9.88
1.0,0.367,0.893,1.0,1.0,73.4,-10.2
1.0,0.367,0.89,1.0,1.0,72.23,-10.9
1.0,0.356,0.89,1.0,1.0,71.91,-9.71
1.0,0.356,0.89,1.0,1.0,72.06,-10.63
1.0,0.356,0.89,1.0,1.0,71.84,-10.54
1.0,0.356,0.89,1.0,1.0,72.28,-10.37
1.0,0.356,0.89,1.0,1.0,72.04,-9.16
1.0,0.356,0.89,1.0,1.0,72.22,-8.58
1.0,0.356,0.89,1.0,1.0,71.47,-10.05
1.0,0.344,0.89,1.0,1.0,71.79,-10.35
1.0,0.344,0.89,1.0,1.0,71.76,-9.34
1.0,0.344,0.89,1.0,1.0,72.36,-8.9
1.0,0.344,0.89,1.0,1.0,71.92,-9.64
1.0,0.344,0.89,1.0,1.0,72.79,-10.11
1.0,0.344,0.89,1.0,1.0,71.02,-11.12
1.0,0.333,0.89,1.0,1.0,72.09,-9.87
1.0,0.344,0.89,1.0,1.0,73.17,-8.81
1.0,0.344,0.89,1.0,1.0,71.52,-9.81
1.0,0.344,0.89,1.0,1.0,73.38,-10.18
1.0,0.344,0.893,1.0,1.0,74.27,-9.16
1.0,0.344,0.89,1.0,1.0,71.37,-10.39
1.0,0.333,0.89,1.0,1.0,72.52,-9.95
1.0,0.333,0.89,1.0,1.0,73.45,-10.33
1.0,0.344,0.893,1.0,1.0,75.28,-9.5
1.0,0.344,0.893,1.0,1.0,72.66,-10.38
