f1,f2,f3,f4,f5,pitch,roll
0.138,0.311,0.0,0.233,0.335,78.7,-10.07
0.128,0.3,0.0,0.221,0.33,79.35,-8.99
0.125,0.289,0.0,0.221,0.33,78.36,-9.36
0.118,0.3,0.0,0.221,0.326,78.58,-9.9
0.111,0.3,0.0,0.221,0.33,77.52,-10.5
0.109,0.289,0.0,0.221,0.344,79.09,-8.08
0.109,0.278,0.0,0.221,0.344,77.96,-10.35
0.108,0.289,0.0,0.221,0.349,77.97,-9.7
0.105,0.278,0.0,0.209,0.344,77.97,-9.96
0.098,0.278,0.0,0.209,0.335,78.06,-9.94
0.094,0.278,0.0,0.209,0.335,79.24,-8.53
0.093,0.278,0.0,0.209,0.335,78.18,-9.76
0.092,0.278,0.0,0.209,0.335,78.2,-10.1
0.091,0.278,0.0,0.209,0.33,77.54,-10.86
0.091,0.278,0.0,0.209,0.33,78.13,-9.4
0.091,0.278,0.0,0.209,0.335,77.22,-11.28
0.09,0.278,0.0,0.209,0.335,78.65,-10.25
0.09,0.267,0.0,0.198,0.34,77.4,-11.31
0.089,0.278,0.0,0.198,0.34,77.71,-10.94
0.089,0.278,0.0,0.198,0.34,78.1,-10.2
0.088,0.267,0.0,0.198,0.335,77.31,-10.96
0.089,0.267,0.0,0.198,0.34,77.54,-10.41
0.089,0.267,0.0,0.198,0.34,77.25,-11.13
0.088,0.267,0.0,0.198,0.34,77.98,-10.13
0.088,0.267,0.0,0.198,0.344,77.75,-10.13
0.088,0.267,0.0,0.198,0.344,78.12,-9.89
0.088,0.256,0.0,0.198,0.34,77.41,-10.56
0.087,0.267,0.0,0.198,0.344,78.06,-9.68
0.088,0.267,0.0,0.198,0.34,77.97,-10.44
0.088,0.267,0.0,0.198,0.34,77.62,-11.12
0.089,0.278,0.0,0.198,0.34,78.14,-10.07
0.087,0.322,0.0,0.198,0.321,77.56,-10.4
0.059,0.367,0.0,0.198,0.288,77.84,-10.24
0.072,0.4,0.0,0.198,0.349,77.67,-10.31
0.108,0.4,0.0,0.198,0.386,77.94,-9.81
0.096,0.389,0.0,0.198,0.414,77.01,-10.71
0.087,0.378,0.0,0.198,0.409,77.67,-9.47
0.074,0.367,0.0,0.198,0.405,77.96,-9.83
0.069,0.367,0.0,0.186,0.409,77.15,-9.91
0.068,0.356,0.0,0.186,0.405,77.33,-10.04
0.066,0.344,0.0,0.186,0.405,77.67,-9.62
0.068,0.344,0.0,0.186,0.4,77.52,-10.03
0.069,0.322,0.0,0.186,0.4,77.55,-10.1
0.067,0.322,0.0,0.186,0.395,76.82,-10.48
0.066,0.311,0.0,0.186,0.391,76.71,-10.63
0.065,0.311,0.0,0.186,0.391,76.9,-10.96
0.066,0.311,0.0,0.186,0.391,76.44,-11.04
0.067,0.3,0.0,0.186,0.391,76.48,-11.28
0.067,0.3,0.0,0.186,0.386,77.22,-11.27
0.066,0.3,0.0,0.186,0.386,77.67,-9.35
0.066,0.3,0.0,0.186,0.386,75.76,-11.63
0.066,0.322,0.0,0.186,0.386,75.6,-12.23
0.068,0.333,0.0,0.186,0.381,75.85,-10.78
0.067,0.311,0.0,0.186,0.381,75.94,-11.47
0.066,0.3,0.0,0.186,0.381,76.99,-11.16
0.066,0.3,0.0,0.186,0.377,76.93,-10.89
0.064,0.289,0.0,0.186,0.377,76.76,-10.9
0.064,0.289,0.0,0.186,0.377,77.94,-10.36
0.065,0.289,0.0,0.186,0.377,76.71,-10.73
0.066,0.278,0.0,0.174,0.377,76.47,-10.18
0.064,0.278,0.0,0.186,0.377,77.07,-10.3
0.063,0.278,0.0,0.186,0.377,76.65,-11.1
0.057,0.311,0.0,0.186,0.316,76.4,-10.59
0.05,0.333,0.0,0.186,0.307,77.22,-10.16
0.049,0.322,0.0,0.186,0.279,77.42,-9.62
0.163,0.278,0.0,0.186,0.181,75.95,-11.3
0.233,0.267,0.0,0.174,0.158,76.27,-11.19
0.209,0.267,0.0,0.174,0.149,76.21,-11.48
0.19,0.256,0.0,0.174,0.144,76.36,-11.4
0.184,0.256,0.0,0.163,0.144,76.87,-10.38
0.186,0.244,0.0,0.163,0.144,76.74,-11.04
0.187,0.244,0.0,0.163,0.149,76.6,-10.27
0.169,0.244,0.0,0.163,0.153,76.19,-11.3
0.182,0.244,0.0,0.163,0.163,76.8,-10.96
0.197,0.244,0.0,0.151,0.181,76.31,-11.01
0.218,0.233,0.0,0.151,0.186,76.39,-10.97
0.216,0.233,0.0,0.151,0.181,76.36,-10.38
0.213,0.233,0.0,0.151,0.177,76.51,-10.2
0.209,0.233,0.0,0.151,0.177,76.22,-10.7
0.208,0.233,0.0,0.151,0.177,76.74,-10.75
0.206,0.222,0.0,0.151,0.177,76.19,-11.0
0.205,0.222,0.0,0.151,0.177,75.89,-11.48
0.199,0.222,0.0,0.151,0.167,76.21,-11.17
0.186,0.211,0.0,0.151,0.149,75.98,-10.63
0.182,0.211,0.0,0.151,0.14,75.42,-11.9
0.184,0.211,0.0,0.151,0.144,75.5,-11.69
0.184,0.2,0.0,0.14,0.144,75.65,-11.13
0.182,0.2,0.0,0.14,0.144,75.55,-11.08
0.181,0.2,0.0,0.14,0.153,75.14,-11.81
0.182,0.189,0.0,0.14,0.153,76.53,-10.18
0.181,0.2,0.0,0.14,0.158,76.17,-10.78
0.181,0.2,0.0,0.14,0.158,75.74,-10.54
0.181,0.2,0.0,0.14,0.163,75.51,-11.73
0.181,0.2,0.0,0.14,0.163,74.48,-12.14
0.181,0.2,0.0,0.14,0.163,75.03,-11.25
0.18,0.189,0.0,0.14,0.158,75.22,-11.52
0.178,0.189,0.0,0.14,0.158,75.34,-10.09
0.177,0.189,0.0,0.14,0.158,73.28,-14.87
0.18,0.189,0.0,0.14,0.163,73.69,-13.87
0.179,0.189,0.0,0.14,0.158,73.65,-13.74
0.178,0.189,0.0,0.14,0.158,74.53,-11.38
0.178,0.189,0.0,0.14,0.153,72.27,-14.22
0.177,0.189,0.0,0.14,0.158,73.04,-13.49
0.176,0.189,0.0,0.14,0.158,72.86,-13.62
0.176,0.189,0.0,0.14,0.163,73.7,-12.31
0.176,0.178,0.0,0.14,0.163,72.78,-14.06
0.176,0.178,0.0,0.14,0.163,73.23,-12.7
0.177,0.178,0.0,0.14,0.163,72.43,-13.3
0.176,0.178,0.0,0.14,0.167,72.78,-13.68
0.176,0.178,0.0,0.14,0.163,73.39,-12.5
