f1,f2,f3,f4,f5,pitch,roll
0.718,0.656,0.728,1.0,0.953,67.78,-17.95
0.721,0.656,0.728,1.0,0.949,68.15,-18.37
0.724,0.644,0.728,1.0,0.949,68.9,-17.56
0.748,0.656,0.728,1.0,0.953,69.51,-16.38
0.746,0.656,0.728,1.0,0.953,67.33,-18.54
0.746,0.656,0.726,1.0,0.953,67.63,-18.27
0.745,0.644,0.728,1.0,0.949,67.73,-18.43
0.745,0.644,0.728,1.0,0.953,68.09,-18.29
0.746,0.644,0.728,1.0,0.949,68.03,-18.25
0.746,0.644,0.728,1.0,0.949,68.31,-17.92
0.745,0.644,0.728,1.0,0.949,68.05,-18.45
0.768,0.644,0.726,1.0,0.949,67.76,-18.25
0.777,0.644,0.728,1.0,0.949,68.07,-18.38
0.769,0.644,0.728,1.0,0.949,68.06,-18.23
0.763,0.633,0.731,1.0,0.949,67.73,-18.7
0.756,0.633,0.744,1.0,0.926,69.09,-17.16
0.744,0.633,0.747,1.0,0.888,67.91,-18.61
0.756,0.644,0.762,1.0,0.907,67.83,-18.07
0.749,0.656,0.747,1.0,0.921,67.45,-17.39
0.739,0.656,0.773,1.0,0.921,68.13,-17.22
0.736,0.644,0.773,1.0,0.926,68.08,-16.72
0.729,0.644,0.773,1.0,0.93,67.86,-17.39
0.73,0.633,0.768,1.0,0.958,67.51,-18.28
0.739,0.633,0.768,1.0,0.967,67.71,-17.77
0.741,0.622,0.765,1.0,1.0,68.07,-17.35
0.74,0.622,0.773,1.0,1.0,67.37,-17.45
0.729,0.611,0.77,1.0,1.0,67.95,-17.78
0.728,0.611,0.778,1.0,1.0,68.62,-16.43
0.718,0.611,0.804,1.0,1.0,67.51,-16.89
0.709,0.6,0.796,1.0,0.995,67.82,-17.57
0.7,0.6,0.786,1.0,0.981,68.25,-17.08
0.698,0.6,0.783,1.0,0.981,67.59,-17.17
0.696,0.6,0.781,1.0,0.995,67.41,-18.33
0.695,0.6,0.781,1.0,0.995,69.45,-16.86
0.692,0.6,0.781,1.0,0.995,69.52,-16.56
0.687,0.6,0.781,1.0,0.995,70.21,-16.79
0.688,0.6,0.778,1.0,0.995,69.31,-17.04
0.687,0.6,0.778,1.0,0.991,69.38,-16.96
0.681,0.6,0.781,1.0,0.995,68.53,-18.1
0.653,0.6,0.781,1.0,0.995,69.14,-17.47
0.637,0.6,0.778,1.0,0.991,68.68,-17.85
0.619,0.6,0.778,1.0,0.986,69.05,-17.27
0.609,0.6,0.775,1.0,0.981,69.39,-16.55
0.603,0.6,0.778,1.0,0.981,69.02,-17.35
0.6,0.6,0.786,1.0,0.981,70.27,-16.27
0.6,0.589,0.786,1.0,0.981,70.94,-16.6
0.6,0.589,0.786,1.0,0.981,70.79,-16.23
0.598,0.589,0.783,1.0,0.977,75.64,-11.26
0.598,0.589,0.783,1.0,0.977,74.47,-13.34
0.597,0.589,0.783,1.0,0.977,74.5,-12.85
0.597,0.578,0.783,1.0,0.977,73.98,-13.6
0.595,0.578,0.781,1.0,0.977,74.49,-13.55
0.594,0.578,0.775,1.0,0.963,74.45,-13.7
0.592,0.578,0.76,0.988,0.953,73.42,-13.62
0.592,0.578,0.76,0.988,0.953,75.3,-13.75
0.592,0.567,0.76,0.988,0.953,76.23,-12.87
0.592,0.578,0.76,0.988,0.953,77.54,-11.26
0.592,0.578,0.757,1.0,0.953,76.1,-13.11
0.594,0.578,0.757,0.977,0.953,74.32,-15.43
0.607,0.578,0.757,0.977,0.953,76.69,-12.48
0.603,0.578,0.757,0.977,0.953,77.63,-11.87
0.594,0.578,0.757,1.0,0.953,78.58,-10.63
0.592,0.578,0.757,1.0,0.953,77.83,-11.25
0.591,0.578,0.757,1.0,0.953,78.52,-10.87
0.587,0.567,0.757,1.0,0.953,77.21,-11.82
0.583,0.567,0.755,1.0,0.949,78.86,-10.12
0.583,0.578,0.755,1.0,0.949,75.84,-12.73
0.583,0.578,0.755,1.0,0.949,77.62,-10.43
0.582,0.578,0.752,1.0,0.958,79.49,-9.17
0.581,0.578,0.747,1.0,0.944,77.4,-11.63
0.579,0.578,0.728,1.0,0.874,77.92,-10.34
0.58,0.567,0.668,1.0,0.879,77.78,-11.02
0.583,0.567,0.473,1.0,0.888,77.44,-11.04
0.582,0.556,0.373,1.0,0.902,77.4,-11.4
0.575,0.556,0.478,1.0,0.874,76.62,-12.46
0.56,0.556,0.637,0.0,0.851,79.81,-8.47
0.459,0.567,0.619,1.0,0.767,81.13,-8.08
0.436,0.567,0.634,0.012,0.758,79.78,-8.64
0.432,0.567,0.629,1.0,0.763,79.1,-9.32
0.43,0.567,0.632,1.0,0.763,79.54,-9.34
0.429,0.567,0.634,1.0,0.758,79.18,-9.36
0.428,0.556,0.637,1.0,0.763,79.45,-9.22
0.427,0.556,0.632,1.0,0.767,79.04,-9.73
0.427,0.567,0.634,1.0,0.767,79.71,-8.92
0.424,0.578,0.634,1.0,0.763,78.6,-9.73
0.424,0.578,0.637,1.0,0.767,78.49,-10.03
0.425,0.578,0.634,1.0,0.772,78.64,-9.71
0.424,0.578,0.637,1.0,0.772,78.53,-9.83
0.425,0.578,0.64,1.0,0.772,79.5,-8.75
0.424,0.578,0.637,1.0,0.805,79.23,-9.35
0.427,0.578,0.65,1.0,0.828,79.88,-8.78
0.427,0.578,0.645,1.0,0.86,78.9,-9.03
0.422,0.578,0.661,1.0,0.87,80.04,-8.47
0.416,0.589,0.731,1.0,0.87,79.03,-9.2
0.298,0.622,0.734,1.0,0.73,78.59,-9.67
0.266,0.622,0.781,1.0,0.688,79.84,-8.04
0.25,0.633,0.734,1.0,0.665,77.1,-10.02
0.266,0.622,0.726,1.0,0.716,77.51,-10.08
0.306,0.611,0.718,1.0,0.726,79.67,-9.87
0.437,0.6,0.679,1.0,0.786,78.87,-10.92
0.675,0.589,0.65,1.0,0.893,80.07,-9.54
0.653,0.589,0.661,1.0,0.916,77.17,-11.92
0.677,0.589,0.71,1.0,0.981,77.03,-11.69
0.69,0.6,0.708,1.0,0.977,77.08,-11.81
0.633,0.578,0.705,1.0,0.963,79.01,-9.59
0.623,0.589,0.705,1.0,0.963,79.77,-7.87
0.622,0.578,0.721,1.0,0.977,78.34,-10.31
0.618,0.578,0.736,1.0,0.977,79.73,-9.0
0.598,0.578,0.721,1.0,0.963,78.95,-10.05
0.578,0.567,0.718,1.0,0.958,79.39,-9.34
0.575,0.578,0.715,1.0,0.963,79.23,-9.7
0.573,0.567,0.715,1.0,0.963,78.9,-9.7
0.573,0.611,0.715,1.0,0.963,79.3,-9.69
0.571,0.589,0.718,1.0,0.967,78.39,-10.41
0.568,0.589,0.718,1.0,0.963,78.85,-9.73
0.566,0.589,0.715,1.0,0.958,78.95,-9.71
0.566,0.578,0.715,1.0,0.958,78.26,-10.02
0.561,0.578,0.715,1.0,0.958,78.4,-10.4
0.56,0.567,0.715,1.0,0.958,79.13,-10.09
0.561,0.567,0.713,1.0,0.953,79.01,-9.99
0.563,0.567,0.713,1.0,0.953,79.12,-9.79
0.562,0.567,0.715,1.0,0.958,78.2,-10.99
0.56,0.567,0.715,1.0,0.953,79.32,-9.77
0.562,0.567,0.721,1.0,0.963,79.56,-9.22
0.559,0.567,0.718,1.0,0.958,78.82,-10.07
0.558,0.567,0.718,1.0,0.958,78.7,-10.22
0.558,0.567,0.718,1.0,0.958,79.47,-9.7
0.559,0.567,0.718,1.0,0.953,77.48,-11.3
0.56,0.567,0.715,1.0,0.953,78.29,-10.99
0.56,0.567,0.71,1.0,0.953,77.16,-11.4
0.561,0.556,0.71,1.0,0.949,77.8,-11.51
0.562,0.556,0.708,1.0,0.949,77.76,-11.67
0.56,0.567,0.705,1.0,0.949,78.66,-11.09
0.555,0.567,0.705,1.0,0.949,81.19,-8.65
0.552,0.556,0.705,1.0,0.949,77.3,-12.7
0.553,0.556,0.705,1.0,0.949,78.65,-10.81
