f1,f2,f3,f4,f5,pitch,roll
1.0,0.9,0.809,1.0,1.0,69.39,-19.25
1.0,0.9,0.809,1.0,1.0,67.24,-20.17
1.0,0.889,0.809,1.0,1.0,67.47,-22.24
1.0,0.889,0.809,1.0,1.0,66.14,-22.3
1.0,0.889,0.809,1.0,1.0,63.39,-24.64
1.0,0.878,0.809,1.0,1.0,66.74,-21.71
1.0,0.889,0.809,1.0,1.0,66.25,-22.69
1.0,0.889,0.809,1.0,1.0,64.89,-22.14
1.0,0.889,0.809,1.0,1.0,64.19,-24.67
1.0,0.889,0.809,1.0,1.0,65.94,-22.64
1.0,0.889,0.809,1.0,1.0,65.83,-22.49
1.0,0.889,0.812,1.0,1.0,65.29,-23.67
1.0,0.889,0.812,1.0,1.0,66.76,-22.09
1.0,0.889,0.812,1.0,1.0,66.31,-22.24
1.0,0.889,0.809,1.0,1.0,65.9,-23.04
1.0,0.889,0.809,1.0,1.0,66.24,-22.68
1.0,0.889,0.812,1.0,1.0,65.87,-23.03
1.0,0.889,0.812,1.0,1.0,66.25,-22.61
1.0,0.889,0.812,1.0,1.0,65.95,-22.96
1.0,0.878,0.812,1.0,1.0,66.01,-22.92
1.0,0.878,0.812,1.0,1.0,65.44,-23.66
1.0,0.889,0.812,1.0,1.0,66.17,-22.82
1.0,0.911,0.815,1.0,1.0,66.07,-22.96
1.0,0.967,0.817,1.0,1.0,66.77,-22.05
1.0,0.978,0.817,1.0,1.0,66.94,-22.12
1.0,0.967,0.812,1.0,1.0,67.2,-21.86
1.0,0.944,0.812,1.0,1.0,66.64,-22.56
1.0,0.922,0.812,1.0,1.0,66.73,-22.54
1.0,0.9,0.809,1.0,1.0,67.27,-21.94
1.0,0.9,0.796,1.0,1.0,66.53,-22.93
1.0,0.922,0.76,1.0,1.0,67.2,-21.98
1.0,0.922,0.762,1.0,1.0,67.44,-21.84
1.0,0.922,0.731,1.0,0.986,66.77,-22.53
1.0,0.922,0.71,1.0,0.972,67.7,-21.36
1.0,0.922,0.747,1.0,0.967,66.63,-22.52
1.0,0.9,0.783,1.0,0.995,67.43,-21.76
1.0,0.9,0.781,1.0,0.991,67.11,-22.22
1.0,0.9,0.778,1.0,0.991,67.67,-21.57
1.0,0.9,0.781,1.0,0.995,67.3,-22.22
1.0,0.889,0.786,1.0,0.995,67.53,-21.78
1.0,0.889,0.783,1.0,0.995,66.76,-22.86
1.0,0.889,0.781,1.0,0.995,68.16,-21.06
1.0,0.878,0.76,1.0,0.991,69.55,-19.15
1.0,0.878,0.752,1.0,0.967,70.78,-18.69
1.0,0.889,0.752,1.0,0.958,73.64,-14.84
1.0,0.889,0.76,1.0,0.958,73.83,-14.51
1.0,0.889,0.77,1.0,0.967,74.8,-14.72
1.0,0.889,0.755,1.0,0.967,72.95,-15.93
1.0,0.878,0.757,1.0,0.972,74.5,-15.5
1.0,0.878,0.752,1.0,0.967,69.78,-19.92
1.0,0.922,0.765,1.0,0.958,74.14,-15.8
1.0,0.922,0.768,1.0,0.958,73.03,-16.92
1.0,0.911,0.768,1.0,0.963,71.78,-18.18
1.0,0.911,0.768,1.0,0.963,72.79,-17.21
1.0,0.9,0.768,1.0,0.958,72.87,-17.08
1.0,0.889,0.768,1.0,0.963,72.95,-16.92
1.0,0.889,0.768,1.0,0.958,71.28,-18.63
1.0,0.878,0.768,1.0,0.958,72.38,-17.58
1.0,0.878,0.762,1.0,0.958,72.32,-17.64
1.0,0.867,0.757,1.0,0.963,71.89,-18.04
1.0,0.878,0.757,1.0,0.981,72.1,-17.84
0.975,0.9,0.695,1.0,0.967,71.62,-18.32
0.822,0.944,0.645,1.0,0.898,71.86,-18.09
0.796,0.956,0.574,1.0,0.874,71.79,-18.21
0.793,0.944,0.554,1.0,0.86,72.32,-17.68
0.8,0.944,0.564,1.0,0.86,72.07,-17.86
0.804,0.944,0.574,1.0,0.86,71.68,-18.32
0.81,0.933,0.585,1.0,0.86,73.83,-16.17
