f1,f2,f3,f4,f5,pitch,roll
0.415,1.0,0.851,0.279,0.074,73.32,-14.6
0.412,1.0,0.851,0.279,0.07,70.73,-17.3
0.412,1.0,0.851,0.279,0.065,73.84,-14.44
0.404,1.0,0.851,0.279,0.07,67.43,-18.69
0.401,1.0,0.851,0.267,0.06,72.65,-15.18
0.399,1.0,0.851,0.267,0.056,73.26,-15.21
0.399,1.0,0.851,0.267,0.06,72.53,-16.82
0.398,1.0,0.851,0.267,0.047,72.52,-16.38
0.399,1.0,0.851,0.267,0.042,73.18,-15.84
0.398,1.0,0.851,0.267,0.037,71.96,-17.23
0.397,1.0,0.851,0.267,0.023,72.44,-16.79
0.536,1.0,0.851,0.267,0.0,72.68,-17.03
0.76,1.0,0.851,0.267,0.0,73.03,-16.4
0.877,1.0,0.851,0.267,0.0,71.86,-17.93
0.671,1.0,0.851,0.267,0.0,73.45,-15.8
0.474,1.0,0.851,0.267,0.0,72.26,-17.46
0.296,1.0,0.851,1.0,0.0,71.74,-18.07
0.202,1.0,0.851,0.256,0.0,72.4,-17.27
0.225,1.0,0.851,1.0,0.0,72.03,-17.69
0.201,1.0,0.851,1.0,0.0,72.43,-17.22
0.202,1.0,0.851,1.0,0.0,73.43,-16.2
0.216,1.0,0.851,0.256,0.0,72.61,-17.03
0.227,1.0,0.851,0.256,0.0,73.36,-16.11
0.232,1.0,0.851,0.244,0.0,73.01,-16.64
0.235,1.0,0.851,1.0,0.0,73.4,-16.27
0.223,1.0,0.851,1.0,0.0,72.77,-16.86
0.214,1.0,0.851,1.0,0.0,73.15,-16.43
0.217,1.0,0.851,1.0,0.0,72.59,-16.92
0.217,1.0,0.851,0.244,0.0,73.54,-16.2
0.22,1.0,0.851,0.244,0.0,72.48,-17.3
0.225,1.0,0.851,0.244,0.0,76.0,-14.0
0.225,1.0,0.851,0.244,0.0,74.45,-15.47
0.228,1.0,0.851,0.244,0.0,74.51,-15.08
0.227,1.0,0.851,0.244,0.0,75.63,-14.04
0.228,1.0,0.851,0.233,0.0,74.99,-14.65
0.229,1.0,0.849,0.233,0.0,75.43,-14.13
0.229,1.0,0.851,0.233,0.0,75.42,-14.13
0.229,1.0,0.849,0.233,0.0,76.16,-13.48
0.231,1.0,0.849,0.233,0.0,75.37,-14.43
0.23,1.0,0.849,0.233,0.0,74.44,-15.41
0.232,1.0,0.849,0.233,0.0,76.84,-12.74
0.234,1.0,0.849,0.233,0.0,78.47,-10.71
0.232,1.0,0.851,0.233,0.0,77.85,-11.77
0.23,1.0,0.849,0.233,0.0,78.62,-11.12
0.228,1.0,0.849,0.233,0.0,78.57,-11.18
0.228,1.0,0.849,0.233,0.0,77.77,-11.98
0.229,1.0,0.849,0.233,0.0,77.95,-11.52
0.231,1.0,0.849,0.233,0.0,78.35,-10.86
0.232,1.0,0.849,0.233,0.0,78.23,-11.35
0.233,1.0,0.849,0.233,0.0,78.32,-10.71
0.234,1.0,0.849,0.233,0.0,78.35,-11.08
0.234,1.0,0.849,0.233,0.0,78.17,-11.44
0.235,1.0,0.849,0.233,0.0,77.77,-11.78
0.237,1.0,0.849,0.221,0.0,78.41,-11.02
0.237,1.0,0.849,0.221,0.0,78.37,-11.05
0.237,1.0,0.849,0.221,0.0,78.27,-11.34
0.237,1.0,0.849,0.221,0.0,76.87,-12.85
0.237,1.0,0.849,1.0,0.0,77.78,-11.7
0.238,1.0,0.849,0.221,0.0,79.04,-10.46
0.24,1.0,0.849,0.221,0.0,78.72,-10.63
0.239,1.0,0.849,1.0,0.0,77.54,-11.8
0.239,1.0,0.849,1.0,0.0,78.12,-11.28
0.24,1.0,0.849,1.0,0.0,78.26,-11.23
0.242,1.0,0.849,0.221,0.0,78.49,-10.87
0.24,1.0,0.849,0.221,0.0,78.21,-10.94
0.236,1.0,0.849,0.221,0.0,77.66,-11.6
0.236,1.0,0.846,0.221,0.0,77.61,-11.89
0.236,1.0,0.846,0.221,0.0,77.39,-12.22
0.236,1.0,0.846,0.221,0.0,78.38,-11.1
0.236,1.0,0.846,0.221,0.0,77.77,-11.75
0.237,1.0,0.846,0.221,0.0,77.66,-11.77
0.237,1.0,0.846,0.221,0.0,78.34,-10.82
0.238,1.0,0.846,0.209,0.0,78.11,-11.27
0.239,1.0,0.846,0.209,0.0,77.75,-11.55
0.239,1.0,0.846,0.209,0.0,77.8,-11.55
0.239,1.0,0.846,0.209,0.0,78.4,-11.08
0.239,1.0,0.846,0.209,0.0,78.39,-11.6
0.238,1.0,0.846,0.209,0.0,77.53,-11.95
0.238,1.0,0.849,0.198,0.0,78.67,-11.22
0.239,1.0,0.849,1.0,0.0,71.93,-17.08
0.239,1.0,0.846,1.0,0.0,74.28,-13.92
0.239,1.0,0.849,0.198,0.0,74.74,-14.87
0.241,1.0,0.846,0.209,0.0,74.79,-13.98
0.232,1.0,0.846,0.198,0.0,74.82,-14.53
0.219,1.0,0.849,0.198,0.0,75.74,-13.38
0.216,1.0,0.849,0.198,0.0,75.69,-13.36
0.216,1.0,0.849,0.198,0.0,75.75,-13.25
0.216,1.0,0.849,0.198,0.0,75.08,-14.37
0.218,1.0,0.849,0.186,0.0,75.37,-13.97
0.219,1.0,0.849,0.186,0.0,75.39,-13.76
0.221,1.0,0.849,0.186,0.0,73.92,-15.74
0.221,1.0,0.849,0.186,0.0,75.4,-11.23
0.221,1.0,0.849,0.186,0.0,74.3,-15.61
0.218,1.0,0.849,0.186,0.0,76.04,-11.96
0.217,1.0,0.849,0.186,0.0,79.13,-10.11
0.214,1.0,0.846,1.0,0.0,74.8,-11.46
0.214,1.0,0.843,1.0,0.0,65.99,-23.37
0.218,1.0,0.843,0.174,0.0,80.19,-3.87
0.22,1.0,0.843,1.0,0.0,73.96,-15.99
0.227,1.0,0.841,1.0,0.0,67.52,-21.83
0.225,1.0,0.843,1.0,0.0,70.41,-17.59
0.218,1.0,0.843,1.0,0.0,70.07,-19.58
0.211,1.0,0.846,1.0,0.0,75.48,-14.51
0.19,1.0,0.849,1.0,0.0,75.73,-12.78
0.179,1.0,0.846,1.0,0.0,77.52,-11.36
0.177,1.0,0.843,1.0,0.0,76.61,-13.32
0.179,1.0,0.843,1.0,0.0,74.46,-15.35
0.189,0.989,0.843,1.0,0.0,70.21,-19.71
0.194,1.0,0.843,1.0,0.0,71.45,-9.66
0.195,1.0,0.843,1.0,0.0,65.85,-19.34
0.196,0.989,0.843,0.151,0.0,65.65,-16.86
0.195,0.989,0.843,0.151,0.0,66.71,-16.56
0.195,0.989,0.843,0.151,0.0,66.73,-18.68
0.197,0.989,0.843,1.0,0.0,68.26,-15.06
0.196,0.989,0.843,1.0,0.0,65.86,-18.06
0.198,0.989,0.843,0.163,0.0,76.6,-9.12
