f1,f2,f3,f4,f5,pitch,roll
1.0,0.756,0.0,1.0,1.0,58.28,-4.99
1.0,0.756,0.0,1.0,1.0,60.13,-8.84
1.0,0.756,0.0,1.0,1.0,58.6,-8.06
1.0,0.767,0.0,1.0,1.0,61.78,-9.42
1.0,0.756,0.0,1.0,1.0,63.51,-10.28
1.0,0.756,0.0,1.0,1.0,64.23,-8.46
1.0,0.744,0.0,1.0,1.0,63.97,-9.26
1.0,0.744,0.0,1.0,1.0,62.22,-8.54
1.0,0.744,0.0,1.0,1.0,62.6,-9.22
1.0,0.767,0.0,1.0,1.0,62.72,-9.34
1.0,0.767,0.0,1.0,1.0,63.1,-9.34
1.0,0.767,0.0,1.0,1.0,62.82,-9.52
1.0,0.767,0.0,1.0,1.0,62.37,-9.25
1.0,0.778,0.0,1.0,1.0,62.43,-10.17
1.0,0.778,0.0,1.0,1.0,63.04,-8.62
1.0,0.767,0.0,1.0,1.0,64.32,-10.4
1.0,0.778,0.0,1.0,1.0,62.71,-11.18
1.0,0.778,0.0,1.0,1.0,61.2,-10.07
1.0,0.767,0.0,1.0,1.0,62.92,-10.33
1.0,0.767,0.0,1.0,1.0,63.62,-10.32
1.0,0.778,0.0,1.0,1.0,57.57,-12.09
1.0,0.778,0.0,1.0,1.0,62.94,-6.39
1.0,0.778,0.0,1.0,1.0,61.36,-9.42
1.0,0.767,0.0,1.0,1.0,62.47,-10.13
1.0,0.767,0.0,1.0,1.0,62.23,-9.89
1.0,0.767,0.0,1.0,1.0,62.23,-10.81
1.0,0.767,0.0,1.0,1.0,65.14,-8.86
1.0,0.756,0.0,1.0,1.0,63.59,-9.24
1.0,0.744,0.0,1.0,1.0,60.98,-10.81
1.0,0.744,0.0,1.0,1.0,61.61,-8.31
1.0,0.733,0.0,1.0,1.0,61.58,-9.75
1.0,0.733,0.0,1.0,1.0,61.76,-9.58
1.0,0.733,0.0,1.0,1.0,62.31,-9.07
1.0,0.733,0.0,1.0,1.0,62.38,-8.93
1.0,0.733,0.0,1.0,1.0,61.49,-9.59
1.0,0.722,0.0,1.0,1.0,61.79,-9.62
1.0,0.722,0.0,1.0,1.0,63.26,-8.89
1.0,0.711,0.0,1.0,1.0,60.74,-9.66
1.0,0.878,0.0,1.0,1.0,60.99,-9.05
1.0,0.767,0.0,1.0,1.0,61.03,-10.15
1.0,1.0,0.0,1.0,1.0,61.74,-9.24
1.0,1.0,0.0,1.0,1.0,60.7,-10.0
1.0,0.978,0.0,1.0,1.0,61.68,-9.12
1.0,0.9,0.0,1.0,1.0,61.61,-10.12
1.0,0.878,0.0,1.0,1.0,61.63,-8.02
1.0,0.856,0.0,1.0,1.0,62.55,-10.35
1.0,0.789,0.0,1.0,1.0,70.18,-4.89
1.0,0.8,0.0,1.0,1.0,61.94,-12.21
1.0,0.756,0.0,1.0,1.0,65.52,-6.94
1.0,0.744,0.0,1.0,1.0,59.99,-11.49
1.0,0.678,0.0,1.0,1.0,56.49,-14.35
