f1,f2,f3,f4,f5,pitch,roll
0.0,0.911,0.0,0.093,0.0,75.0,-4.76
0.0,0.944,0.0,0.116,0.233,73.78,-15.69
0.38,0.889,0.0,0.663,1.0,46.41,42.48
1.0,0.956,0.047,0.616,1.0,47.78,40.75
1.0,1.0,0.0,0.686,1.0,47.67,39.53
1.0,1.0,0.0,0.616,1.0,34.35,52.46
1.0,1.0,0.0,0.5,1.0,39.53,49.04
1.0,1.0,0.0,0.453,1.0,37.06,52.05
1.0,1.0,0.0,0.407,1.0,25.2,59.75
1.0,1.0,0.0,0.384,1.0,27.84,58.24
1.0,1.0,0.0,0.372,1.0,26.11,58.82
1.0,1.0,0.0,0.372,1.0,25.86,58.72
1.0,1.0,0.0,0.372,1.0,25.35,58.78
1.0,1.0,0.0,0.372,1.0,28.74,55.14
1.0,1.0,0.0,0.372,1.0,22.02,64.29
1.0,1.0,0.0,0.372,1.0,23.51,61.43
1.0,1.0,0.0,0.36,1.0,25.51,59.05
1.0,1.0,0.0,0.372,0.995,20.12,64.94
1.0,1.0,0.0,0.395,0.977,22.91,61.81
1.0,1.0,0.0,0.453,0.981,21.13,62.47
1.0,1.0,0.0,0.488,0.981,23.44,60.3
1.0,1.0,0.0,0.465,0.977,24.92,60.63
1.0,1.0,0.0,0.453,0.977,25.3,58.93
1.0,1.0,0.0,0.453,0.972,24.61,60.01
1.0,1.0,0.0,0.442,0.967,24.66,59.85
1.0,1.0,0.0,0.442,0.963,25.89,58.6
1.0,1.0,0.0,0.43,0.958,27.09,56.43
1.0,1.0,0.0,0.395,0.953,24.85,58.66
1.0,1.0,0.0,0.384,1.0,27.63,55.45
1.0,1.0,0.0,0.372,0.986,30.73,54.35
1.0,1.0,0.0,0.36,0.972,29.64,54.47
1.0,1.0,0.0,0.349,0.967,31.29,52.74
1.0,1.0,0.0,0.337,0.953,30.42,54.22
1.0,1.0,0.0,0.337,0.953,31.71,53.07
1.0,1.0,0.0,0.337,0.949,30.76,54.19
1.0,1.0,0.0,0.326,0.949,31.82,53.47
1.0,1.0,0.0,0.326,0.944,31.97,53.99
1.0,1.0,0.0,0.326,0.944,30.31,54.58
1.0,1.0,0.0,0.314,0.944,30.36,53.75
1.0,1.0,0.0,0.314,0.944,30.28,54.33
1.0,1.0,0.0,0.314,0.94,28.85,54.59
1.0,1.0,0.0,0.314,0.944,29.7,53.86
1.0,1.0,0.0,0.314,0.94,30.01,53.88
1.0,1.0,0.0,0.302,0.953,30.7,53.72
1.0,1.0,0.0,0.302,0.944,31.0,52.76
1.0,1.0,0.0,0.302,0.963,30.75,53.4
1.0,1.0,0.0,0.291,0.958,30.88,52.93
1.0,1.0,0.0,0.291,0.958,31.33,52.72
1.0,1.0,0.0,0.291,0.94,31.59,52.91
1.0,1.0,0.0,0.267,0.949,30.35,53.02
