f1,f2,f3,f4,f5,pitch,roll
0.203,1.0,0.893,1.0,0.712,76.65,-9.54
0.202,1.0,0.896,1.0,0.712,76.86,-9.17
0.2,1.0,0.896,1.0,0.712,75.87,-9.97
0.197,1.0,0.896,1.0,0.716,76.35,-11.59
0.172,1.0,0.896,1.0,0.716,76.68,-11.56
0.163,1.0,0.893,1.0,0.716,75.87,-11.72
0.156,1.0,0.893,1.0,0.716,75.55,-13.08
0.147,1.0,0.896,1.0,0.716,77.45,-10.72
0.14,1.0,0.896,1.0,0.716,76.02,-12.8
0.139,1.0,0.896,1.0,0.716,76.09,-12.39
0.14,1.0,0.893,1.0,0.712,74.41,-13.92
0.151,1.0,0.893,1.0,0.707,76.4,-11.78
0.253,1.0,0.89,1.0,0.712,75.95,-12.4
0.391,1.0,0.89,1.0,0.702,75.23,-12.69
0.596,1.0,0.888,1.0,0.698,75.42,-12.47
0.399,1.0,0.885,1.0,0.702,76.19,-12.91
0.298,1.0,0.883,1.0,0.698,76.27,-12.56
0.178,1.0,0.88,1.0,0.693,75.89,-12.59
0.032,1.0,0.88,1.0,0.688,75.37,-13.0
0.0,1.0,0.877,1.0,0.679,75.72,-12.86
0.0,1.0,0.877,1.0,0.679,76.24,-12.59
0.0,1.0,0.877,1.0,0.679,75.87,-12.78
0.0,1.0,0.875,1.0,0.674,75.52,-12.84
0.0,1.0,0.875,1.0,0.674,76.0,-12.19
0.0,1.0,0.875,1.0,0.674,75.45,-11.3
0.0,1.0,0.875,1.0,0.674,75.54,-12.31
0.0,1.0,0.875,1.0,0.67,73.89,-12.78
0.0,1.0,0.875,1.0,0.67,79.71,-6.3
0.0,1.0,0.875,1.0,0.67,72.32,-10.12
0.0,1.0,0.875,1.0,0.67,73.22,-11.85
0.0,1.0,0.875,1.0,0.67,72.33,-12.94
0.0,1.0,0.875,1.0,0.67,74.73,-10.49
0.0,1.0,0.872,1.0,0.67,74.3,-11.17
0.0,1.0,0.872,1.0,0.67,73.89,-11.56
0.0,1.0,0.872,1.0,0.67,73.3,-12.94
0.0,1.0,0.869,1.0,0.67,73.36,-11.79
0.0,1.0,0.867,1.0,0.67,73.79,-11.02
0.0,1.0,0.867,1.0,0.67,74.11,-11.59
0.0,1.0,0.867,1.0,0.665,73.35,-12.6
0.0,1.0,0.869,1.0,0.665,73.95,-12.13
0.0,1.0,0.869,1.0,0.665,73.72,-11.45
0.0,1.0,0.869,1.0,0.66,74.58,-11.25
0.0,1.0,0.867,1.0,0.66,73.93,-12.63
0.0,1.0,0.869,1.0,0.66,73.22,-12.36
0.0,1.0,0.869,1.0,0.66,75.45,-10.4
0.0,1.0,0.869,1.0,0.66,74.7,-11.1
0.0,1.0,0.867,1.0,0.66,73.84,-11.92
0.0,1.0,0.864,1.0,0.656,73.7,-11.83
0.0,1.0,0.864,1.0,0.66,74.71,-10.77
0.0,1.0,0.864,1.0,0.66,73.85,-11.87
0.0,1.0,0.864,1.0,0.656,73.28,-11.94
0.0,1.0,0.862,1.0,0.656,73.37,-11.88
0.0,1.0,0.862,1.0,0.656,75.03,-10.97
0.0,1.0,0.862,1.0,0.656,72.83,-13.14
0.0,1.0,0.862,1.0,0.656,72.69,-12.7
0.0,1.0,0.862,1.0,0.656,73.55,-11.79
0.0,1.0,0.862,1.0,0.651,76.69,-11.21
0.0,1.0,0.862,1.0,0.656,72.79,-12.79
0.0,1.0,0.862,1.0,0.656,73.5,-11.63
0.0,1.0,0.862,1.0,0.651,73.34,-9.67
0.0,1.0,0.862,1.0,0.651,73.21,-10.14
0.0,1.0,0.862,1.0,0.651,72.92,-9.8
0.0,1.0,0.859,1.0,0.651,73.71,-8.3
0.0,1.0,0.862,1.0,0.651,72.01,-10.77
0.0,1.0,0.862,1.0,0.651,71.78,-12.86
0.0,1.0,0.862,1.0,0.651,71.41,-11.04
0.0,1.0,0.862,1.0,0.651,73.0,-9.3
0.0,1.0,0.862,1.0,0.651,71.88,-9.98
0.0,1.0,0.859,1.0,0.651,70.63,-12.79
0.0,1.0,0.859,1.0,0.651,71.49,-7.19
0.0,1.0,0.859,1.0,0.651,67.69,-10.67
0.0,1.0,0.859,1.0,0.651,69.21,-10.72
0.0,1.0,0.859,1.0,0.651,71.74,-10.68
0.0,1.0,0.859,1.0,0.651,71.38,-11.57
0.0,1.0,0.856,1.0,0.651,69.99,-12.76
0.0,1.0,0.859,1.0,0.651,70.64,-12.77
0.0,1.0,0.859,1.0,0.651,71.15,-12.11
0.0,1.0,0.859,1.0,0.651,71.75,-12.47
0.0,1.0,0.859,1.0,0.647,70.6,-13.46
0.0,1.0,0.859,1.0,0.702,70.25,-12.63
0.0,1.0,0.864,1.0,0.744,72.45,-10.97
0.024,1.0,0.862,1.0,0.674,71.0,-12.66
0.21,1.0,0.862,1.0,0.67,70.34,-13.18
0.164,1.0,0.862,1.0,0.674,70.48,-14.1
0.089,1.0,0.862,1.0,0.688,71.63,-13.12
0.0,1.0,0.859,1.0,0.66,71.12,-11.54
0.0,1.0,0.859,1.0,0.66,70.75,-12.43
0.132,1.0,0.856,1.0,0.66,71.72,-12.87
0.106,1.0,0.856,1.0,0.674,70.78,-14.2
0.103,1.0,0.856,1.0,0.665,71.49,-12.95
0.075,1.0,0.856,1.0,0.67,70.73,-13.78
0.0,1.0,0.859,1.0,0.67,71.81,-12.7
