f1,f2,f3,f4,f5,pitch,roll
0.013,1.0,0.846,1.0,0.628,63.99,17.53
0.013,1.0,0.846,1.0,0.637,63.76,17.64
0.014,1.0,0.846,1.0,0.633,65.05,16.32
0.015,1.0,0.846,1.0,0.637,64.02,17.79
0.021,1.0,0.846,1.0,0.637,65.27,17.06
0.022,1.0,0.846,1.0,0.637,64.88,17.22
0.026,1.0,0.846,1.0,0.642,64.98,17.52
0.028,1.0,0.846,1.0,0.637,65.28,16.75
0.028,1.0,0.846,1.0,0.637,67.69,14.42
0.028,1.0,0.843,1.0,0.633,65.66,17.39
0.028,1.0,0.846,1.0,0.637,64.38,18.29
0.029,1.0,0.846,1.0,0.684,65.09,17.82
0.05,1.0,0.846,1.0,0.633,66.79,15.66
0.103,1.0,0.846,1.0,0.633,64.86,17.48
0.087,1.0,0.843,1.0,0.637,65.46,16.52
0.081,1.0,0.846,1.0,0.633,64.34,17.86
0.074,1.0,0.843,1.0,0.633,64.5,15.64
0.079,1.0,0.846,1.0,0.633,64.67,18.85
0.267,1.0,0.846,1.0,0.628,63.76,17.67
0.264,1.0,0.846,1.0,0.633,66.42,16.3
0.26,1.0,0.846,1.0,0.633,66.04,16.23
0.27,1.0,0.843,1.0,0.633,66.77,14.28
0.248,1.0,0.843,1.0,0.633,66.51,16.04
0.221,1.0,0.843,1.0,0.637,67.96,14.03
0.199,1.0,0.843,1.0,0.637,66.26,17.41
0.181,1.0,0.843,1.0,0.651,68.32,14.24
0.169,1.0,0.846,1.0,0.642,65.89,16.39
0.166,1.0,0.846,1.0,0.656,67.51,15.13
0.164,1.0,0.843,1.0,0.651,64.81,17.01
0.161,1.0,0.843,1.0,0.647,65.0,15.02
0.158,1.0,0.843,1.0,0.647,66.48,15.58
0.156,1.0,0.843,1.0,0.647,66.69,15.03
0.154,1.0,0.843,1.0,0.647,64.61,17.73
0.151,1.0,0.843,1.0,0.647,64.45,17.99
0.148,1.0,0.843,1.0,0.647,68.03,14.53
0.147,1.0,0.843,1.0,0.651,68.41,14.29
0.146,1.0,0.843,1.0,0.647,67.66,14.56
0.137,1.0,0.843,1.0,0.642,66.54,15.14
0.135,1.0,0.843,1.0,0.642,65.02,15.56
0.136,1.0,0.843,1.0,0.642,63.73,16.76
0.135,1.0,0.843,1.0,0.642,65.72,16.36
0.135,1.0,0.843,1.0,0.651,64.46,15.78
0.137,1.0,0.843,1.0,0.642,60.45,20.81
0.131,1.0,0.846,1.0,0.628,57.52,23.78
0.136,1.0,0.846,1.0,0.623,56.0,25.8
0.138,1.0,0.849,1.0,0.614,56.23,23.75
0.135,1.0,0.846,1.0,0.619,56.3,24.08
0.132,1.0,0.846,1.0,0.619,59.39,22.31
0.128,1.0,0.843,1.0,0.623,57.55,22.3
0.125,0.989,0.843,1.0,0.623,57.5,22.99
0.123,0.978,0.843,1.0,0.628,56.5,23.69
0.121,0.978,0.843,1.0,0.628,55.0,23.61
0.12,0.978,0.843,1.0,0.628,53.8,20.47
0.119,0.978,0.843,1.0,0.628,60.75,18.73
0.119,0.978,0.843,1.0,0.628,57.17,21.72
0.119,0.978,0.843,1.0,0.628,56.23,21.64
0.119,0.989,0.843,1.0,0.633,56.94,20.35
0.119,0.989,0.843,1.0,0.628,59.64,19.31
0.119,0.989,0.843,1.0,0.633,55.95,21.1
0.119,0.989,0.843,1.0,0.628,55.95,20.3
0.117,0.989,0.843,1.0,0.633,56.85,21.67
0.111,0.989,0.843,1.0,0.623,56.19,23.77
0.106,1.0,0.843,1.0,0.628,55.78,25.19
