f1,f2,f3,f4,f5,pitch,roll
1.0,0.889,0.23,1.0,1.0,85.56,-2.94
1.0,0.889,0.227,1.0,1.0,84.58,-3.92
1.0,0.933,0.225,1.0,1.0,85.93,-2.72
1.0,0.933,0.225,1.0,1.0,84.73,-3.7
1.0,0.922,0.222,1.0,1.0,85.75,-2.07
1.0,0.922,0.222,1.0,1.0,83.62,-3.96
1.0,0.967,0.23,1.0,1.0,84.59,-2.78
1.0,0.956,0.227,1.0,1.0,85.65,-1.03
1.0,0.967,0.227,1.0,1.0,83.36,-2.99
1.0,0.989,0.219,1.0,1.0,83.78,-2.05
1.0,1.0,0.214,1.0,1.0,83.83,-2.07
1.0,1.0,0.209,1.0,1.0,83.98,-1.86
1.0,1.0,0.209,1.0,1.0,83.3,-2.31
1.0,1.0,0.209,1.0,1.0,83.34,-2.46
1.0,1.0,0.206,1.0,1.0,83.24,-1.92
1.0,1.0,0.206,1.0,1.0,83.31,-2.11
1.0,1.0,0.206,1.0,1.0,83.19,-1.79
1.0,1.0,0.206,1.0,1.0,82.79,-1.94
1.0,1.0,0.206,1.0,1.0,81.82,-2.65
1.0,1.0,0.206,1.0,1.0,81.44,-2.43
1.0,1.0,0.206,1.0,1.0,82.16,-0.92
1.0,1.0,0.204,1.0,1.0,82.68,-1.85
1.0,1.0,0.201,1.0,1.0,82.55,-2.01
1.0,1.0,0.201,1.0,1.0,82.56,-1.62
1.0,0.989,0.201,1.0,1.0,81.86,-1.88
1.0,0.989,0.198,1.0,1.0,81.63,-1.19
1.0,0.978,0.201,1.0,1.0,81.12,-1.49
1.0,0.967,0.198,1.0,1.0,79.78,-2.29
1.0,0.967,0.198,1.0,1.0,81.3,-2.4
1.0,0.978,0.198,1.0,1.0,80.91,-2.22
1.0,1.0,0.196,1.0,1.0,81.63,-2.46
1.0,1.0,0.196,1.0,1.0,81.16,-1.6
1.0,1.0,0.193,1.0,1.0,82.25,0.23
1.0,1.0,0.191,1.0,1.0,81.87,-1.43
1.0,1.0,0.185,1.0,1.0,80.83,-2.45
1.0,1.0,0.18,1.0,1.0,81.41,-1.56
1.0,1.0,0.178,1.0,1.0,80.4,-2.87
1.0,1.0,0.178,1.0,1.0,82.7,-1.36
1.0,1.0,0.178,1.0,1.0,81.79,-2.55
1.0,1.0,0.178,1.0,1.0,80.59,-3.25
1.0,1.0,0.178,1.0,1.0,79.73,-0.67
1.0,1.0,0.175,1.0,1.0,81.41,-0.07
1.0,1.0,0.178,1.0,1.0,81.75,0.54
1.0,1.0,0.175,1.0,1.0,80.56,-1.58
1.0,1.0,0.175,1.0,1.0,79.91,-1.5
1.0,1.0,0.178,1.0,1.0,80.92,-0.71
1.0,1.0,0.175,1.0,1.0,80.57,-1.35
1.0,1.0,0.175,1.0,1.0,80.27,0.14
1.0,1.0,0.175,1.0,1.0,79.66,-1.04
1.0,1.0,0.172,1.0,1.0,80.61,-0.18
1.0,0.956,0.172,1.0,1.0,79.23,0.83
1.0,0.944,0.17,1.0,1.0,79.09,1.32
