f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.851,1.0,1.0,75.6,-14.18
1.0,1.0,0.851,1.0,1.0,74.29,-15.46
1.0,1.0,0.851,1.0,1.0,75.01,-14.85
1.0,1.0,0.851,1.0,1.0,71.97,-17.74
1.0,1.0,0.851,1.0,1.0,74.31,-15.39
1.0,1.0,0.851,1.0,1.0,73.77,-15.87
1.0,1.0,0.851,1.0,1.0,73.7,-16.16
1.0,1.0,0.851,1.0,1.0,73.99,-15.88
1.0,1.0,0.851,1.0,1.0,74.89,-14.92
1.0,1.0,0.851,1.0,1.0,75.16,-14.68
1.0,1.0,0.849,1.0,1.0,75.32,-14.55
1.0,1.0,0.851,1.0,1.0,74.51,-15.33
1.0,1.0,0.849,1.0,1.0,75.49,-14.39
1.0,1.0,0.849,1.0,1.0,75.07,-14.72
1.0,1.0,0.851,1.0,1.0,74.82,-15.07
1.0,1.0,0.849,1.0,1.0,75.35,-14.6
1.0,1.0,0.849,1.0,1.0,75.45,-14.37
1.0,1.0,0.846,1.0,1.0,75.24,-14.65
1.0,1.0,0.846,1.0,1.0,74.82,-15.11
1.0,1.0,0.843,1.0,1.0,75.36,-14.53
1.0,1.0,0.812,1.0,0.981,73.71,-16.28
1.0,1.0,0.817,1.0,0.958,75.09,-14.89
1.0,1.0,0.815,1.0,0.953,75.93,-14.05
1.0,1.0,0.812,1.0,0.926,76.11,-13.88
1.0,1.0,0.812,1.0,0.921,76.19,-13.77
1.0,1.0,0.807,1.0,0.902,75.67,-14.32
1.0,1.0,0.815,1.0,0.907,76.54,-13.41
1.0,1.0,0.833,1.0,0.912,75.75,-14.24
1.0,1.0,0.83,1.0,0.912,76.5,-13.49
1.0,1.0,0.825,1.0,0.916,75.43,-14.56
1.0,1.0,0.755,1.0,0.916,76.39,-13.61
1.0,1.0,0.734,1.0,0.916,76.23,-13.77
1.0,1.0,0.734,1.0,0.912,76.51,-13.49
1.0,1.0,0.742,1.0,0.907,75.75,-14.25
1.0,1.0,0.744,1.0,0.907,75.83,-14.17
1.0,1.0,0.747,1.0,0.912,75.3,-14.69
1.0,1.0,0.757,1.0,0.916,76.79,-13.2
1.0,1.0,0.762,1.0,0.916,76.19,-13.81
1.0,1.0,0.762,1.0,0.916,75.59,-14.37
1.0,1.0,0.747,1.0,0.916,75.87,-14.13
1.0,1.0,0.747,1.0,0.916,76.58,-13.4
1.0,1.0,0.749,1.0,0.916,76.29,-13.66
1.0,1.0,0.755,1.0,0.916,76.59,-13.41
1.0,1.0,0.76,1.0,0.916,75.96,-14.03
1.0,1.0,0.76,1.0,0.916,75.89,-14.06
1.0,1.0,0.739,1.0,0.907,75.95,-14.03
1.0,1.0,0.332,1.0,0.902,75.52,-14.43
1.0,1.0,0.0,1.0,0.865,76.06,-13.91
1.0,1.0,0.0,1.0,0.842,74.93,-15.07
1.0,1.0,0.0,1.0,0.842,75.03,-14.86
1.0,1.0,0.0,1.0,0.856,74.12,-15.85
1.0,1.0,0.0,1.0,0.87,75.91,-14.04
1.0,1.0,0.24,1.0,0.874,78.23,-11.77
1.0,1.0,0.585,1.0,0.879,77.33,-12.37
1.0,1.0,0.778,1.0,0.884,77.09,-12.9
1.0,1.0,0.749,1.0,0.888,75.24,-14.65
1.0,1.0,0.684,1.0,0.884,75.76,-14.13
1.0,1.0,0.681,1.0,0.888,76.35,-13.63
1.0,1.0,0.666,1.0,0.888,75.82,-14.14
1.0,1.0,0.509,1.0,0.888,75.7,-14.24
1.0,1.0,0.078,1.0,0.888,76.34,-13.65
1.0,1.0,0.0,1.0,0.888,75.71,-14.23
1.0,1.0,0.0,1.0,0.888,77.32,-12.68
1.0,1.0,0.0,1.0,0.888,75.35,-14.63
1.0,1.0,0.439,1.0,0.888,77.12,-12.86
1.0,1.0,0.721,1.0,0.888,75.56,-14.32
1.0,1.0,0.768,1.0,0.884,75.89,-14.05
1.0,1.0,0.728,1.0,0.884,75.58,-14.39
1.0,1.0,0.7,1.0,0.888,76.27,-13.67
1.0,1.0,0.695,1.0,0.884,76.9,-13.1
1.0,1.0,0.692,1.0,0.87,76.29,-13.64
1.0,1.0,0.689,1.0,0.86,76.06,-13.88
1.0,1.0,0.681,1.0,0.847,76.88,-13.09
1.0,1.0,0.679,1.0,0.847,75.75,-14.13
1.0,1.0,0.684,1.0,0.847,75.52,-14.48
1.0,1.0,0.804,1.0,0.837,76.74,-13.18
1.0,1.0,0.82,1.0,0.847,76.26,-13.74
1.0,1.0,0.843,1.0,0.823,76.98,-12.92
1.0,1.0,0.843,1.0,0.819,76.8,-13.16
1.0,1.0,0.843,1.0,0.814,76.68,-13.22
1.0,1.0,0.841,1.0,0.916,74.52,-15.48
1.0,1.0,0.838,1.0,1.0,75.86,-14.08
1.0,1.0,0.833,1.0,0.958,76.36,-13.56
1.0,1.0,0.833,1.0,0.926,76.73,-13.19
1.0,1.0,0.833,1.0,0.921,76.29,-13.66
1.0,1.0,0.833,1.0,0.879,76.81,-13.14
1.0,1.0,0.83,1.0,0.86,76.46,-13.46
1.0,1.0,0.833,1.0,0.856,76.07,-13.92
1.0,1.0,0.833,1.0,0.86,76.72,-13.27
1.0,1.0,0.833,1.0,0.86,75.93,-14.06
1.0,1.0,0.833,1.0,0.86,76.53,-13.47
1.0,1.0,0.833,1.0,0.86,77.11,-12.89
1.0,1.0,0.83,1.0,0.86,75.44,-14.56
1.0,1.0,0.83,1.0,0.86,76.46,-13.54
1.0,1.0,0.83,1.0,0.86,76.72,-13.28
1.0,1.0,0.828,1.0,0.856,77.13,-11.93
1.0,1.0,0.822,1.0,0.856,70.31,-19.6
1.0,1.0,0.82,1.0,0.86,77.7,-9.26
1.0,1.0,0.809,1.0,0.856,77.77,-11.15
1.0,1.0,0.809,1.0,0.856,78.89,-11.08
1.0,1.0,0.809,1.0,0.86,76.66,-13.22
1.0,1.0,0.807,1.0,0.86,75.12,-14.66
1.0,1.0,0.807,1.0,0.86,75.78,-13.57
1.0,1.0,0.804,1.0,0.86,76.77,-12.42
1.0,1.0,0.807,1.0,0.86,78.27,-11.56
1.0,1.0,0.804,1.0,0.86,78.26,-11.47
1.0,1.0,0.804,1.0,0.86,77.65,-12.09
1.0,1.0,0.804,1.0,0.86,78.64,-11.29
1.0,1.0,0.804,1.0,0.86,71.12,-18.87
1.0,1.0,0.802,1.0,0.86,73.04,-16.9
1.0,1.0,0.802,1.0,0.86,72.69,-17.26
1.0,1.0,0.802,1.0,0.86,73.54,-16.09
1.0,1.0,0.802,1.0,0.86,73.29,-16.6
1.0,1.0,0.804,1.0,0.87,74.78,-15.04
1.0,1.0,0.802,1.0,0.87,73.56,-16.4
1.0,1.0,0.799,1.0,0.865,74.33,-15.67
1.0,1.0,0.799,1.0,0.865,73.66,-16.33
1.0,1.0,0.799,1.0,0.865,72.65,-17.34
1.0,1.0,0.796,1.0,0.865,73.55,-16.38
1.0,1.0,0.796,1.0,0.865,74.15,-15.82
1.0,1.0,0.796,1.0,0.865,74.11,-15.69
1.0,1.0,0.796,1.0,0.865,74.1,-15.85
1.0,1.0,0.796,1.0,0.865,73.0,-16.98
1.0,1.0,0.794,1.0,0.865,73.06,-16.9
1.0,1.0,0.794,1.0,0.865,72.39,-17.58
1.0,1.0,0.794,1.0,0.86,74.6,-15.31
1.0,1.0,0.794,1.0,0.86,75.53,-14.06
1.0,1.0,0.794,1.0,0.86,75.06,-14.94
1.0,1.0,0.794,1.0,0.86,73.98,-16.02
1.0,1.0,0.794,1.0,0.86,72.89,-17.08
1.0,1.0,0.791,1.0,0.865,74.73,-15.27
1.0,1.0,0.794,1.0,0.865,74.98,-15.02
1.0,1.0,0.794,1.0,0.865,73.99,-16.0
1.0,1.0,0.794,1.0,0.865,73.4,-16.58
1.0,1.0,0.794,1.0,0.865,74.61,-15.39
1.0,1.0,0.794,1.0,0.865,74.66,-15.33
1.0,1.0,0.794,1.0,0.865,73.86,-16.14
1.0,1.0,0.791,1.0,0.865,74.66,-15.34
1.0,1.0,0.791,1.0,0.865,73.68,-16.32
1.0,1.0,0.791,1.0,0.865,74.74,-15.26
1.0,1.0,0.789,1.0,0.87,73.13,-16.27
1.0,1.0,0.786,1.0,0.874,73.64,-16.33
1.0,1.0,0.789,1.0,0.87,76.27,-13.71
1.0,1.0,0.789,1.0,0.898,77.55,-12.38
1.0,1.0,0.789,1.0,0.898,76.0,-13.87
1.0,1.0,0.786,1.0,0.902,75.98,-14.02
1.0,1.0,0.789,1.0,0.898,75.37,-14.6
1.0,1.0,0.789,1.0,0.898,75.28,-14.72
1.0,1.0,0.789,1.0,0.898,75.12,-14.86
1.0,1.0,0.789,1.0,0.893,75.02,-14.91
1.0,1.0,0.789,1.0,0.944,74.82,-15.16
1.0,1.0,0.791,1.0,0.916,75.15,-14.84
1.0,1.0,0.804,1.0,0.912,75.22,-14.78
1.0,1.0,0.833,1.0,0.912,74.41,-15.56
1.0,1.0,0.83,1.0,0.912,75.12,-14.88
1.0,1.0,0.833,1.0,0.907,74.44,-15.5
