f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.642,1.0,0.912,73.76,-16.15
1.0,1.0,0.64,1.0,0.912,86.42,-2.05
1.0,1.0,0.611,1.0,0.907,51.71,-10.58
1.0,1.0,0.611,1.0,0.907,69.24,-7.88
1.0,1.0,0.611,1.0,0.907,72.39,-8.05
1.0,1.0,0.616,1.0,0.902,64.99,-10.54
1.0,1.0,0.614,1.0,0.902,62.78,-21.26
1.0,1.0,0.611,1.0,0.898,82.74,-7.24
1.0,1.0,0.606,1.0,0.898,63.55,-20.19
1.0,1.0,0.603,1.0,0.898,60.39,-19.84
1.0,1.0,0.59,1.0,0.898,69.49,-14.88
1.0,1.0,0.587,1.0,0.898,73.25,-14.86
1.0,1.0,0.582,1.0,0.898,66.79,-17.5
1.0,1.0,0.564,1.0,0.893,73.2,-13.6
1.0,1.0,0.564,1.0,0.893,71.93,-10.72
1.0,1.0,0.559,1.0,0.893,68.39,-17.61
1.0,1.0,0.559,1.0,0.893,69.99,-13.33
1.0,1.0,0.556,1.0,0.893,70.85,-14.9
1.0,1.0,0.556,1.0,0.893,68.12,-15.92
1.0,1.0,0.556,1.0,0.888,68.37,-14.36
1.0,1.0,0.559,1.0,0.888,68.85,-15.64
1.0,1.0,0.559,1.0,0.888,68.59,-14.89
1.0,1.0,0.559,1.0,0.888,68.24,-16.72
1.0,1.0,0.559,1.0,0.888,69.3,-14.03
1.0,1.0,0.556,1.0,0.888,68.93,-15.06
1.0,1.0,0.556,1.0,0.888,68.31,-15.74
1.0,1.0,0.556,1.0,0.888,67.98,-16.53
1.0,1.0,0.556,1.0,0.888,68.26,-16.24
1.0,1.0,0.556,1.0,0.888,68.29,-16.83
1.0,1.0,0.556,1.0,0.888,67.74,-15.81
1.0,1.0,0.556,1.0,0.888,68.19,-15.4
1.0,1.0,0.556,1.0,0.888,67.86,-16.64
1.0,1.0,0.556,1.0,0.888,68.46,-15.84
1.0,1.0,0.554,1.0,0.888,68.19,-16.36
1.0,1.0,0.554,1.0,0.888,68.35,-16.79
1.0,1.0,0.554,1.0,0.884,68.21,-16.29
1.0,1.0,0.554,1.0,0.888,68.82,-14.81
1.0,1.0,0.551,1.0,0.888,68.76,-15.54
1.0,1.0,0.554,1.0,0.884,68.42,-16.27
1.0,1.0,0.53,1.0,0.888,68.2,-16.54
1.0,1.0,0.538,1.0,0.884,69.28,-15.11
1.0,1.0,0.53,1.0,0.884,69.0,-15.98
1.0,1.0,0.465,1.0,0.884,68.91,-15.66
1.0,1.0,0.366,1.0,0.874,68.8,-14.32
1.0,1.0,0.099,1.0,0.856,67.9,-14.76
1.0,1.0,0.044,1.0,0.851,67.86,-14.44
1.0,1.0,0.008,1.0,0.851,67.8,-14.08
1.0,1.0,0.06,1.0,0.847,67.28,-15.99
1.0,1.0,0.131,1.0,0.842,66.07,-17.34
1.0,1.0,0.191,1.0,0.837,66.55,-16.79
1.0,1.0,0.319,1.0,0.842,68.21,-14.48
1.0,1.0,0.454,1.0,0.847,67.98,-14.81
1.0,1.0,0.554,1.0,0.847,68.65,-15.0
1.0,1.0,0.603,1.0,0.851,68.25,-15.81
1.0,1.0,0.582,1.0,0.851,68.6,-15.43
1.0,1.0,0.569,1.0,0.856,68.35,-15.26
1.0,1.0,0.572,1.0,0.856,68.49,-14.86
1.0,1.0,0.559,1.0,0.856,69.74,-14.32
1.0,1.0,0.556,1.0,0.916,70.35,-14.08
1.0,1.0,0.577,1.0,0.93,68.93,-14.88
1.0,1.0,0.574,1.0,0.916,69.16,-14.58
1.0,1.0,0.567,1.0,0.912,68.48,-15.02
1.0,1.0,0.567,1.0,0.902,68.76,-15.17
1.0,1.0,0.564,1.0,0.902,68.33,-14.93
1.0,1.0,0.574,1.0,0.898,68.35,-15.87
