f1,f2,f3,f4,f5,pitch,roll
0.797,1.0,0.65,1.0,0.837,75.35,-9.98
0.797,1.0,0.645,1.0,0.837,74.31,-10.04
0.797,1.0,0.648,1.0,0.837,78.7,-10.5
0.799,1.0,0.642,1.0,0.842,80.48,-6.3
0.8,1.0,0.64,1.0,0.856,71.86,-15.79
0.785,1.0,0.634,1.0,0.856,75.92,-8.37
0.78,1.0,0.624,1.0,0.856,69.12,-13.76
0.778,1.0,0.637,1.0,0.856,81.03,-7.02
0.777,1.0,0.634,1.0,0.847,75.67,-6.75
0.78,1.0,0.637,1.0,0.856,71.56,-11.01
0.786,1.0,0.637,1.0,0.86,76.79,-9.15
0.788,1.0,0.637,1.0,0.856,75.18,-9.06
0.79,1.0,0.64,1.0,0.86,75.41,-10.22
0.792,1.0,0.642,1.0,0.86,74.5,-10.32
0.79,1.0,0.64,1.0,0.86,73.27,-9.81
0.783,1.0,0.655,1.0,0.865,73.39,-10.78
0.778,1.0,0.653,1.0,0.874,73.95,-10.97
0.773,1.0,0.655,1.0,0.874,73.87,-10.72
0.772,1.0,0.653,1.0,0.87,74.11,-11.16
0.772,1.0,0.653,1.0,0.865,73.58,-11.32
0.773,1.0,0.65,1.0,0.865,74.08,-11.05
0.773,1.0,0.65,1.0,0.865,74.82,-10.48
0.773,1.0,0.653,1.0,0.856,73.27,-9.84
0.772,1.0,0.65,1.0,0.851,75.58,-10.29
0.773,1.0,0.648,1.0,0.847,74.95,-10.05
0.772,1.0,0.645,1.0,0.842,75.73,-9.92
0.77,1.0,0.642,1.0,0.837,75.45,-9.32
0.769,1.0,0.64,1.0,0.837,77.7,-9.21
0.769,1.0,0.642,1.0,0.837,80.91,-8.26
0.768,1.0,0.645,1.0,0.837,87.41,-1.78
0.771,1.0,0.65,1.0,0.837,84.83,-5.15
0.887,1.0,0.637,1.0,0.842,83.36,-6.31
0.985,1.0,0.632,1.0,0.847,84.23,-4.12
0.854,1.0,0.629,1.0,0.842,86.23,-3.74
0.784,1.0,0.629,1.0,0.837,82.83,-7.14
0.783,1.0,0.634,1.0,0.884,79.86,-7.96
0.788,1.0,0.655,1.0,0.907,79.46,-9.82
0.798,1.0,0.723,1.0,0.963,80.73,-8.31
0.791,1.0,0.697,1.0,0.921,80.41,-8.46
0.762,1.0,0.661,1.0,0.879,81.76,-8.06
0.754,1.0,0.655,1.0,0.87,79.08,-9.36
0.751,1.0,0.65,1.0,0.865,81.56,-7.28
0.749,1.0,0.65,1.0,0.856,81.11,-7.78
0.748,1.0,0.658,1.0,0.8,81.34,-7.82
0.748,1.0,0.661,1.0,0.786,81.3,-7.99
0.751,1.0,0.663,1.0,0.8,81.58,-7.88
0.749,1.0,0.663,1.0,0.795,80.76,-8.36
0.751,1.0,0.661,1.0,0.786,81.14,-7.68
0.75,1.0,0.658,1.0,0.791,81.3,-7.61
0.75,1.0,0.658,1.0,0.786,81.28,-8.0
0.751,1.0,0.655,1.0,0.786,80.77,-8.17
0.75,1.0,0.661,1.0,0.786,81.06,-7.81
0.748,1.0,0.658,1.0,0.786,81.07,-7.85
0.749,1.0,0.658,1.0,0.786,80.58,-8.28
0.748,1.0,0.655,1.0,0.786,81.71,-7.53
0.747,1.0,0.658,1.0,0.786,79.01,-9.95
0.75,1.0,0.658,1.0,0.781,79.55,-6.41
0.753,1.0,0.655,1.0,0.781,82.82,-4.15
