f1,f2,f3,f4,f5,pitch,roll
1.0,0.778,0.0,1.0,0.94,-23.68,-2.82
1.0,0.8,0.0,1.0,0.944,-26.33,2.52
1.0,0.833,0.0,1.0,0.94,-20.11,1.94
1.0,0.811,0.0,1.0,0.935,-22.32,2.02
1.0,0.8,0.0,1.0,0.935,-19.18,-1.34
1.0,0.789,0.0,1.0,0.935,-19.78,0.73
1.0,0.778,0.0,1.0,0.926,-19.98,-10.91
1.0,0.778,0.0,1.0,0.926,-22.49,-3.1
1.0,0.778,0.0,1.0,0.926,-24.42,-3.49
1.0,0.767,0.0,1.0,0.926,-24.04,-2.28
1.0,0.767,0.0,1.0,0.926,-22.86,-3.37
1.0,0.756,0.0,1.0,0.921,-24.62,-2.14
1.0,0.767,0.0,1.0,0.921,-24.03,-2.46
1.0,0.767,0.0,1.0,0.921,-23.63,-2.51
1.0,0.756,0.0,1.0,0.921,-23.52,-3.97
1.0,0.767,0.0,1.0,0.916,-23.09,-2.96
1.0,0.767,0.0,1.0,0.921,-23.64,-4.13
1.0,0.756,0.0,1.0,0.916,-22.39,-6.18
1.0,0.767,0.0,1.0,0.921,-27.49,-4.12
1.0,0.778,0.0,1.0,0.916,-27.99,-5.41
1.0,0.767,0.0,1.0,0.916,-24.54,-6.57
1.0,0.767,0.0,1.0,0.916,-23.72,-2.26
1.0,0.767,0.0,1.0,0.916,-24.6,-0.07
1.0,0.767,0.0,1.0,0.916,-13.23,0.57
1.0,0.767,0.0,1.0,0.916,-20.07,5.34
1.0,0.767,0.0,1.0,0.912,-25.66,-4.57
1.0,0.778,0.0,1.0,0.907,-26.61,7.48
1.0,0.767,0.0,1.0,0.893,-37.56,4.96
1.0,0.778,0.0,1.0,0.893,-22.57,6.37
1.0,0.844,0.055,1.0,0.944,-23.22,13.79
1.0,1.0,0.023,1.0,0.995,-15.17,11.25
1.0,1.0,0.0,1.0,1.0,-23.89,7.15
1.0,1.0,0.0,1.0,1.0,-25.75,-2.26
1.0,0.978,0.0,1.0,1.0,-29.35,-1.49
1.0,1.0,0.0,1.0,1.0,-23.54,3.88
1.0,1.0,0.0,1.0,1.0,-20.15,7.93
1.0,1.0,0.0,1.0,1.0,-22.39,13.2
