f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.0,1.0,1.0,73.0,-12.33
1.0,1.0,0.0,1.0,1.0,72.88,-12.1
1.0,1.0,0.0,1.0,1.0,72.0,-13.33
1.0,1.0,0.0,1.0,1.0,73.19,-12.39
1.0,1.0,0.0,1.0,1.0,74.45,-12.11
1.0,1.0,0.0,1.0,1.0,74.04,-10.9
1.0,1.0,0.0,1.0,1.0,73.36,-12.2
1.0,1.0,0.0,1.0,1.0,73.73,-10.95
1.0,1.0,0.0,1.0,1.0,74.91,-10.19
1.0,1.0,0.0,1.0,1.0,74.62,-11.23
1.0,1.0,0.0,1.0,1.0,73.5,-11.79
1.0,1.0,0.0,1.0,1.0,77.04,-8.65
1.0,1.0,0.0,1.0,1.0,76.82,-8.98
1.0,1.0,0.225,1.0,1.0,77.1,-9.52
1.0,1.0,0.0,1.0,1.0,77.06,-7.78
1.0,1.0,0.0,1.0,1.0,74.79,-5.98
1.0,1.0,0.0,1.0,1.0,72.53,-10.01
1.0,1.0,0.0,1.0,1.0,67.68,-16.83
1.0,1.0,0.0,1.0,1.0,72.63,-10.81
1.0,1.0,0.0,1.0,1.0,72.33,-10.48
1.0,1.0,0.0,1.0,1.0,72.15,-9.57
1.0,1.0,0.0,1.0,1.0,71.77,-11.35
1.0,1.0,0.0,1.0,1.0,72.18,-8.28
1.0,1.0,0.0,1.0,1.0,71.19,-9.18
1.0,1.0,0.0,1.0,1.0,71.5,-9.89
1.0,1.0,0.0,1.0,1.0,73.11,-9.86
1.0,1.0,0.0,1.0,1.0,72.02,-9.25
1.0,1.0,0.0,1.0,1.0,71.25,-10.67
1.0,1.0,0.0,1.0,1.0,71.23,-9.44
1.0,1.0,0.0,1.0,1.0,71.37,-8.02
1.0,1.0,0.0,1.0,1.0,71.5,-10.06
1.0,1.0,0.0,1.0,1.0,71.55,-8.98
1.0,1.0,0.0,1.0,1.0,72.06,-10.48
1.0,1.0,0.0,1.0,1.0,71.67,-10.49
1.0,1.0,0.0,1.0,1.0,72.06,-9.41
1.0,1.0,0.0,1.0,1.0,72.19,-9.97
1.0,1.0,0.0,1.0,1.0,71.47,-8.65
1.0,1.0,0.0,1.0,1.0,71.38,-9.81
1.0,1.0,0.0,1.0,1.0,72.79,-7.92
1.0,1.0,0.0,1.0,1.0,73.32,-7.93
1.0,1.0,0.0,1.0,1.0,72.39,-9.05
1.0,1.0,0.0,1.0,1.0,72.81,-8.11
1.0,1.0,0.0,1.0,1.0,73.58,-6.26
1.0,1.0,0.0,1.0,1.0,72.48,-9.01
1.0,1.0,0.0,1.0,1.0,73.23,-8.12
1.0,1.0,0.0,1.0,1.0,72.46,-8.58
1.0,1.0,0.0,1.0,1.0,72.7,-8.43
1.0,1.0,0.0,1.0,1.0,72.93,-8.8
1.0,1.0,0.0,1.0,1.0,72.78,-8.96
1.0,1.0,0.0,1.0,1.0,72.96,-9.11
1.0,1.0,0.0,1.0,1.0,72.7,-8.89
1.0,1.0,0.0,1.0,1.0,72.93,-9.62
1.0,1.0,0.0,1.0,1.0,72.65,-9.99
1.0,1.0,0.0,1.0,1.0,72.26,-9.9
1.0,1.0,0.0,1.0,1.0,72.43,-8.84
1.0,1.0,0.0,1.0,1.0,72.76,-9.88
1.0,1.0,0.151,1.0,1.0,71.75,-10.07
1.0,1.0,0.42,1.0,1.0,71.87,-9.51
1.0,1.0,0.504,1.0,1.0,72.19,-9.27
1.0,1.0,0.29,1.0,1.0,71.98,-9.76
1.0,1.0,0.151,1.0,1.0,72.03,-9.02
1.0,1.0,0.008,1.0,1.0,72.41,-9.01
1.0,1.0,0.0,1.0,1.0,71.01,-10.45
1.0,1.0,0.0,1.0,1.0,71.36,-8.24
1.0,1.0,0.016,1.0,1.0,71.4,-9.36
1.0,1.0,0.0,1.0,1.0,70.32,-8.61
1.0,1.0,0.0,1.0,1.0,69.91,-11.28
1.0,1.0,0.0,1.0,1.0,70.53,-10.8
1.0,1.0,0.0,1.0,1.0,70.49,-9.29
1.0,1.0,0.0,1.0,1.0,69.63,-7.61
1.0,1.0,0.0,1.0,1.0,71.03,-10.17
1.0,1.0,0.0,1.0,1.0,71.89,-9.22
1.0,1.0,0.052,1.0,1.0,71.74,-9.03
1.0,1.0,0.295,1.0,1.0,71.74,-8.92
1.0,1.0,0.389,1.0,1.0,72.28,-9.02
1.0,1.0,0.175,1.0,1.0,72.47,-9.24
1.0,1.0,0.0,1.0,1.0,71.27,-9.88
1.0,1.0,0.099,1.0,1.0,71.53,-10.51
1.0,1.0,0.645,1.0,1.0,72.29,-10.44
1.0,1.0,0.64,1.0,1.0,71.95,-9.67
1.0,1.0,0.587,1.0,1.0,72.67,-10.37
1.0,1.0,0.54,1.0,1.0,71.76,-9.94
1.0,1.0,0.488,1.0,1.0,72.29,-9.32
1.0,1.0,0.423,1.0,1.0,72.26,-9.8
1.0,1.0,0.324,1.0,1.0,71.84,-9.6
1.0,1.0,0.292,1.0,1.0,72.25,-9.41
1.0,1.0,0.29,1.0,1.0,72.24,-9.08
1.0,1.0,0.277,1.0,1.0,71.87,-10.88
1.0,1.0,0.261,1.0,1.0,71.82,-8.5
1.0,1.0,0.253,1.0,1.0,71.66,-9.32
1.0,1.0,0.258,1.0,1.0,72.08,-9.07
1.0,1.0,0.193,1.0,1.0,72.82,-9.31
1.0,1.0,0.175,1.0,1.0,73.25,-7.72
1.0,1.0,0.162,1.0,1.0,71.94,-9.09
1.0,1.0,0.086,1.0,1.0,73.62,-8.55
1.0,1.0,0.0,1.0,1.0,76.29,-5.78
1.0,1.0,0.0,1.0,1.0,73.51,-6.58
1.0,1.0,0.0,1.0,1.0,74.65,-7.9
1.0,1.0,0.0,1.0,1.0,77.23,-3.17
1.0,1.0,0.0,1.0,1.0,84.85,1.8
1.0,1.0,0.0,1.0,1.0,85.64,-1.27
1.0,1.0,0.0,1.0,1.0,82.05,-2.0
1.0,1.0,0.0,1.0,1.0,79.96,-6.55
1.0,1.0,0.0,1.0,1.0,77.73,-7.74
1.0,1.0,0.0,1.0,1.0,78.0,-7.48
1.0,1.0,0.0,1.0,1.0,79.94,-5.81
1.0,1.0,0.0,1.0,1.0,79.77,-4.67
1.0,1.0,0.031,1.0,1.0,81.44,-2.52
1.0,1.0,0.611,1.0,1.0,80.81,-3.03
1.0,1.0,0.624,1.0,1.0,81.8,-4.0
1.0,1.0,0.042,1.0,1.0,81.15,-5.18
1.0,1.0,0.023,1.0,1.0,81.88,-3.22
1.0,1.0,0.023,1.0,1.0,81.07,-3.19
1.0,1.0,0.023,1.0,1.0,81.58,-4.44
1.0,1.0,0.021,1.0,1.0,80.6,-4.63
1.0,1.0,0.021,1.0,1.0,80.97,-4.98
1.0,1.0,0.021,1.0,1.0,81.22,-3.49
1.0,1.0,0.018,1.0,1.0,78.28,-5.68
1.0,1.0,0.016,1.0,1.0,79.19,-4.1
1.0,1.0,0.016,1.0,1.0,79.41,-5.37
1.0,1.0,0.016,1.0,1.0,79.04,-4.79
1.0,1.0,0.013,1.0,1.0,79.07,-3.56
1.0,1.0,0.01,1.0,1.0,78.6,-3.13
1.0,1.0,0.008,1.0,1.0,79.98,-3.43
1.0,1.0,0.005,1.0,1.0,79.1,-4.69
1.0,1.0,0.003,1.0,1.0,84.31,0.86
1.0,1.0,0.0,1.0,1.0,78.7,-7.54
1.0,1.0,0.0,1.0,1.0,81.02,-5.45
1.0,1.0,0.0,1.0,1.0,80.18,-4.91
1.0,1.0,0.0,1.0,1.0,81.16,-5.84
1.0,1.0,0.094,1.0,1.0,79.76,-5.2
1.0,1.0,0.368,1.0,1.0,79.81,-6.71
1.0,1.0,0.285,1.0,1.0,79.29,-6.16
1.0,1.0,0.264,1.0,1.0,80.25,-5.19
1.0,1.0,0.577,1.0,1.0,78.91,-5.29
1.0,1.0,0.598,1.0,1.0,79.62,-5.08
1.0,1.0,0.559,1.0,1.0,79.97,-5.72
1.0,1.0,0.514,1.0,1.0,79.7,-6.69
1.0,1.0,0.426,1.0,1.0,79.1,-5.19
1.0,1.0,0.386,1.0,1.0,79.09,-6.82
1.0,1.0,0.603,1.0,1.0,81.43,-4.54
1.0,1.0,0.689,1.0,1.0,79.6,-4.83
