f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.901,1.0,1.0,70.42,-17.83
1.0,1.0,0.901,1.0,1.0,69.43,-19.26
1.0,1.0,0.909,1.0,1.0,71.28,-17.21
1.0,1.0,0.909,1.0,1.0,72.88,-15.68
1.0,1.0,0.906,1.0,1.0,73.08,-15.35
1.0,1.0,0.909,1.0,1.0,75.09,-11.53
1.0,1.0,0.901,1.0,1.0,75.05,-14.69
1.0,1.0,0.901,1.0,1.0,69.07,-20.93
1.0,1.0,0.898,1.0,1.0,74.1,-15.31
1.0,1.0,0.901,1.0,1.0,73.24,-16.29
1.0,1.0,0.898,1.0,1.0,72.25,-17.55
1.0,1.0,0.901,1.0,1.0,75.13,-13.64
1.0,1.0,0.898,1.0,1.0,73.97,-15.44
1.0,1.0,0.898,1.0,1.0,80.21,-7.02
1.0,1.0,0.898,1.0,1.0,82.02,-7.37
1.0,1.0,0.898,1.0,1.0,77.51,-11.61
1.0,1.0,0.896,1.0,1.0,77.73,-11.57
1.0,1.0,0.898,1.0,1.0,74.65,-10.39
1.0,1.0,0.898,1.0,1.0,77.7,-11.51
1.0,1.0,0.898,1.0,1.0,70.28,-18.7
1.0,1.0,0.898,1.0,1.0,76.33,-13.49
1.0,1.0,0.896,1.0,1.0,66.06,-23.64
1.0,1.0,0.893,1.0,1.0,70.44,-12.42
1.0,1.0,0.893,1.0,1.0,71.3,-13.77
1.0,1.0,0.893,1.0,1.0,79.65,-9.44
1.0,1.0,0.896,1.0,1.0,76.88,-13.12
1.0,1.0,0.896,1.0,1.0,79.13,-10.15
1.0,1.0,0.896,1.0,1.0,75.96,-12.9
1.0,1.0,0.898,1.0,1.0,75.03,-13.44
1.0,1.0,0.898,1.0,1.0,76.06,-8.82
1.0,1.0,0.898,1.0,1.0,73.75,-7.62
1.0,1.0,0.898,1.0,1.0,73.25,-6.28
1.0,1.0,0.898,1.0,1.0,74.92,-8.71
1.0,1.0,0.898,1.0,1.0,73.43,-10.63
1.0,1.0,0.898,1.0,1.0,76.02,-8.93
1.0,1.0,0.901,1.0,1.0,74.72,-9.32
1.0,1.0,0.901,1.0,1.0,73.68,-11.31
1.0,1.0,0.901,1.0,1.0,73.13,-11.72
1.0,1.0,0.901,1.0,1.0,73.84,-10.92
1.0,1.0,0.901,1.0,1.0,73.34,-11.72
1.0,1.0,0.901,1.0,1.0,72.67,-12.27
1.0,1.0,0.901,1.0,1.0,72.08,-12.74
1.0,1.0,0.901,1.0,1.0,72.99,-9.76
1.0,1.0,0.901,1.0,1.0,72.92,-11.76
1.0,1.0,0.901,1.0,1.0,72.45,-11.71
1.0,1.0,0.901,1.0,1.0,73.41,-9.54
1.0,1.0,0.901,1.0,1.0,73.08,-11.78
1.0,1.0,0.898,1.0,1.0,72.53,-12.14
1.0,1.0,0.898,1.0,1.0,72.91,-11.35
1.0,1.0,0.901,1.0,1.0,73.56,-11.96
1.0,1.0,0.901,1.0,1.0,72.74,-13.05
1.0,1.0,0.901,1.0,1.0,73.01,-13.33
1.0,1.0,0.898,1.0,1.0,74.02,-10.71
1.0,1.0,0.896,1.0,1.0,74.19,-10.74
1.0,1.0,0.896,1.0,1.0,73.97,-11.59
1.0,1.0,0.896,1.0,1.0,73.72,-12.68
