f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.708,1.0,1.0,73.23,-15.1
1.0,1.0,0.705,1.0,1.0,73.44,-14.84
1.0,1.0,0.702,1.0,1.0,73.32,-14.88
1.0,1.0,0.702,1.0,1.0,71.92,-15.59
1.0,1.0,0.7,1.0,1.0,72.29,-16.32
1.0,1.0,0.7,1.0,1.0,71.62,-17.15
1.0,1.0,0.7,1.0,1.0,72.31,-15.8
1.0,1.0,0.7,1.0,1.0,71.46,-16.88
1.0,1.0,0.7,1.0,1.0,72.9,-15.23
1.0,1.0,0.7,1.0,1.0,72.12,-16.35
1.0,1.0,0.7,1.0,1.0,73.11,-14.69
1.0,1.0,0.7,1.0,1.0,72.21,-16.31
1.0,1.0,0.697,1.0,1.0,72.51,-15.38
1.0,1.0,0.7,1.0,1.0,71.59,-16.39
1.0,1.0,0.697,1.0,1.0,71.9,-16.42
1.0,1.0,0.697,1.0,1.0,75.07,-13.61
1.0,1.0,0.7,1.0,1.0,68.99,-19.04
1.0,1.0,0.7,1.0,1.0,72.3,-16.17
1.0,1.0,0.7,1.0,1.0,71.66,-16.99
1.0,1.0,0.697,1.0,1.0,72.64,-16.29
1.0,1.0,0.7,1.0,1.0,68.82,-19.53
1.0,1.0,0.7,1.0,1.0,70.22,-19.17
1.0,1.0,0.692,1.0,1.0,73.78,-15.24
1.0,1.0,0.695,1.0,1.0,69.06,-19.15
1.0,1.0,0.695,1.0,1.0,72.1,-16.27
1.0,1.0,0.695,1.0,1.0,71.12,-17.62
1.0,1.0,0.695,1.0,1.0,71.19,-17.69
1.0,1.0,0.695,1.0,1.0,71.05,-18.07
1.0,1.0,0.695,1.0,1.0,71.03,-17.25
1.0,1.0,0.692,1.0,1.0,72.39,-17.03
1.0,1.0,0.695,1.0,1.0,71.73,-16.08
1.0,1.0,0.695,1.0,1.0,71.83,-17.94
1.0,1.0,0.695,1.0,1.0,73.28,-15.22
1.0,1.0,0.695,1.0,1.0,69.58,-20.19
1.0,1.0,0.695,1.0,1.0,71.42,-17.72
1.0,1.0,0.695,1.0,1.0,72.95,-16.78
1.0,1.0,0.695,1.0,1.0,70.0,-19.91
1.0,1.0,0.695,1.0,1.0,73.02,-16.36
1.0,1.0,0.695,1.0,1.0,73.91,-15.89
1.0,1.0,0.695,1.0,1.0,74.04,-15.7
1.0,1.0,0.695,1.0,1.0,75.68,-14.07
1.0,1.0,0.695,1.0,1.0,73.76,-15.63
1.0,1.0,0.695,1.0,1.0,75.1,-14.6
1.0,1.0,0.695,1.0,1.0,74.86,-14.5
1.0,1.0,0.692,1.0,1.0,74.43,-14.88
1.0,1.0,0.692,1.0,1.0,74.33,-15.24
1.0,1.0,0.692,1.0,1.0,75.02,-14.5
1.0,1.0,0.692,1.0,1.0,73.87,-15.6
1.0,1.0,0.689,1.0,1.0,74.46,-15.31
1.0,1.0,0.689,1.0,1.0,73.71,-16.05
1.0,0.989,0.689,1.0,1.0,74.28,-15.38
1.0,1.0,0.689,1.0,1.0,75.39,-14.42
1.0,1.0,0.689,1.0,1.0,77.56,-12.31
1.0,1.0,0.689,1.0,1.0,75.95,-14.04
1.0,1.0,0.689,1.0,1.0,76.21,-13.75
1.0,0.989,0.689,1.0,1.0,74.43,-15.1
1.0,0.989,0.689,1.0,1.0,74.34,-15.17
1.0,0.989,0.689,1.0,1.0,75.24,-13.35
1.0,0.989,0.687,1.0,1.0,70.57,-19.29
1.0,0.989,0.689,1.0,1.0,72.28,-17.71
1.0,0.978,0.689,1.0,1.0,69.43,-20.47
1.0,0.967,0.689,1.0,1.0,70.04,-17.74
1.0,0.978,0.689,1.0,1.0,68.04,-19.26
1.0,0.978,0.689,1.0,1.0,69.82,-17.84
1.0,0.967,0.689,1.0,1.0,69.7,-18.26
1.0,0.967,0.687,1.0,1.0,70.88,-17.73
