f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.104,1.0,0.823,71.62,-4.22
1.0,1.0,0.104,1.0,0.828,72.02,-5.09
1.0,1.0,0.104,1.0,0.819,72.52,-5.92
1.0,1.0,0.104,1.0,0.823,70.8,-10.26
1.0,1.0,0.073,1.0,0.819,69.3,-1.69
1.0,1.0,0.07,1.0,0.814,70.66,-7.62
1.0,1.0,0.065,1.0,0.805,70.53,-5.24
1.0,1.0,0.076,1.0,0.809,70.16,-8.58
1.0,1.0,0.073,1.0,0.795,71.39,-7.35
1.0,1.0,0.073,1.0,0.791,69.8,-0.59
1.0,1.0,0.07,1.0,0.786,74.19,-1.95
1.0,1.0,0.068,1.0,0.786,70.45,-2.4
1.0,1.0,0.081,1.0,0.786,69.09,-4.1
1.0,1.0,0.084,1.0,0.786,72.6,-2.05
1.0,1.0,0.073,1.0,0.8,70.53,-3.0
1.0,1.0,0.076,1.0,0.795,68.81,-4.49
1.0,1.0,0.076,1.0,0.8,71.35,-1.17
1.0,1.0,0.076,1.0,0.795,69.36,-0.45
1.0,1.0,0.076,1.0,0.795,69.45,-1.88
1.0,1.0,0.076,1.0,0.795,70.49,-3.06
1.0,1.0,0.073,1.0,0.795,69.93,-2.1
1.0,1.0,0.07,1.0,0.8,70.6,-3.34
1.0,1.0,0.068,1.0,0.8,70.24,-1.82
1.0,1.0,0.034,1.0,0.791,72.75,-3.61
0.997,1.0,0.029,1.0,0.772,69.98,-2.2
1.0,1.0,0.0,1.0,0.767,69.64,-2.62
1.0,1.0,0.008,1.0,0.758,72.13,-6.58
1.0,1.0,0.01,1.0,0.767,70.31,-2.83
1.0,1.0,0.013,1.0,0.763,67.4,3.5
1.0,1.0,0.021,1.0,0.772,70.78,-0.01
1.0,1.0,0.023,1.0,0.767,69.43,0.41
1.0,1.0,0.026,1.0,0.767,68.76,3.42
1.0,1.0,0.029,1.0,0.753,69.86,1.94
1.0,1.0,0.026,1.0,0.749,69.36,2.14
1.0,1.0,0.026,1.0,0.753,68.48,2.44
1.0,1.0,0.029,1.0,0.749,68.11,3.9
1.0,1.0,0.026,1.0,0.753,68.94,0.74
1.0,1.0,0.026,1.0,0.749,68.76,1.55
1.0,1.0,0.026,1.0,0.749,69.35,0.58
1.0,1.0,0.042,1.0,0.744,67.01,2.69
0.996,1.0,0.026,1.0,0.735,69.54,0.1
0.992,1.0,0.013,1.0,0.735,71.48,-7.69
0.994,1.0,0.016,1.0,0.735,74.4,0.76
0.981,1.0,0.023,1.0,0.735,76.27,-1.77
0.976,1.0,0.052,1.0,0.73,78.68,-2.5
0.987,1.0,0.005,1.0,0.74,74.06,-2.79
0.987,1.0,0.0,1.0,0.735,73.13,-3.34
0.987,1.0,0.0,1.0,0.74,76.25,-3.48
1.0,1.0,0.0,1.0,0.735,75.16,-1.84
1.0,1.0,0.0,1.0,0.74,75.09,-2.36
1.0,1.0,0.0,1.0,0.735,73.93,-3.16
1.0,1.0,0.0,1.0,0.73,75.13,-2.7
1.0,1.0,0.0,1.0,0.735,74.64,-1.85
0.986,1.0,0.003,1.0,0.735,74.0,-2.61
0.992,1.0,0.005,1.0,0.73,74.53,-3.95
1.0,1.0,0.008,1.0,0.735,74.55,-2.05
1.0,1.0,0.008,1.0,0.73,74.75,-2.2
1.0,1.0,0.005,1.0,0.73,74.55,-2.49
0.967,1.0,0.003,1.0,0.721,74.24,-3.21
0.971,1.0,0.0,1.0,0.707,73.18,-2.49
0.969,1.0,0.0,1.0,0.707,73.96,-4.81
0.972,1.0,0.0,1.0,0.707,74.37,-2.92
0.976,1.0,0.0,1.0,0.712,74.63,-2.85
0.976,1.0,0.0,1.0,0.712,74.08,-3.02
0.974,1.0,0.0,1.0,0.712,73.72,-2.74
0.975,1.0,0.003,1.0,0.712,73.42,-2.85
0.977,1.0,0.0,1.0,0.712,73.6,-2.48
0.982,1.0,0.0,1.0,0.716,73.61,-3.03
0.996,1.0,0.003,1.0,0.716,73.11,-2.48
0.997,1.0,0.003,1.0,0.721,73.97,-3.54
1.0,1.0,0.003,1.0,0.716,72.72,-2.83
1.0,1.0,0.003,1.0,0.726,71.73,-2.93
1.0,1.0,0.003,1.0,0.726,73.51,-3.82
1.0,1.0,0.003,1.0,0.716,73.28,-2.55
1.0,1.0,0.003,1.0,0.721,72.34,-3.97
1.0,1.0,0.005,1.0,0.721,73.93,-5.18
1.0,1.0,0.005,1.0,0.721,76.53,1.55
1.0,1.0,0.005,1.0,0.726,73.41,-2.14
1.0,1.0,0.005,1.0,0.726,73.76,-2.18
1.0,1.0,0.005,1.0,0.726,69.77,-2.64
1.0,1.0,0.005,1.0,0.726,76.66,-0.67
1.0,1.0,0.008,1.0,0.721,74.05,-4.65
1.0,1.0,0.008,1.0,0.726,69.25,-8.47
1.0,1.0,0.008,1.0,0.726,68.85,-2.37
1.0,1.0,0.01,1.0,0.726,68.9,-6.92
1.0,1.0,0.01,1.0,0.726,69.79,-6.34
1.0,1.0,0.013,1.0,0.721,68.02,-6.77
1.0,1.0,0.013,1.0,0.721,71.06,-3.51
1.0,1.0,0.013,1.0,0.716,67.71,-3.56
1.0,1.0,0.013,1.0,0.721,74.3,-2.54
1.0,1.0,0.023,1.0,0.721,69.46,-6.12
1.0,1.0,0.023,1.0,0.716,72.86,-4.41
1.0,1.0,0.099,1.0,0.712,69.36,-6.31
1.0,1.0,0.222,1.0,0.712,69.69,-7.55
1.0,1.0,0.222,1.0,0.721,69.12,-5.09
1.0,1.0,0.24,1.0,0.716,69.36,-4.75
1.0,1.0,0.251,1.0,0.698,71.91,-10.37
0.977,1.0,0.097,1.0,0.707,71.49,-5.56
0.989,1.0,0.076,1.0,0.74,68.63,-8.09
1.0,1.0,0.144,1.0,0.819,71.6,1.28
0.993,1.0,0.175,1.0,0.758,72.53,-0.01
0.994,1.0,0.154,1.0,0.753,69.65,-3.81
0.994,1.0,0.131,1.0,0.758,70.24,-0.73
0.994,1.0,0.125,1.0,0.758,69.57,-2.66
0.983,1.0,0.107,1.0,0.73,72.42,-4.48
0.979,1.0,0.099,1.0,0.73,71.18,-3.07
0.972,1.0,0.086,1.0,0.707,70.27,-2.57
0.957,1.0,0.05,1.0,0.693,71.39,-2.87
0.954,1.0,0.047,1.0,0.698,73.25,-3.22
0.955,1.0,0.026,1.0,0.707,70.0,-3.83
0.96,1.0,0.507,1.0,0.684,75.58,-3.11
0.995,1.0,0.561,1.0,0.698,69.27,-5.03
1.0,1.0,0.512,1.0,0.744,67.55,-5.48
0.984,1.0,0.705,1.0,0.698,72.47,-2.55
1.0,1.0,0.791,1.0,0.865,67.18,-8.29
1.0,1.0,0.802,1.0,0.749,70.02,-6.24
1.0,1.0,0.794,1.0,0.758,74.36,-4.62
1.0,1.0,0.789,1.0,0.74,73.43,-4.74
1.0,1.0,0.775,1.0,0.73,72.68,-3.61
1.0,1.0,0.762,1.0,0.721,70.46,-5.36
1.0,1.0,0.742,1.0,0.712,72.98,-7.37
1.0,1.0,0.721,1.0,0.744,69.38,-3.48
1.0,1.0,0.697,1.0,0.693,74.18,-3.7
1.0,1.0,0.689,1.0,0.716,70.97,-5.25
1.0,1.0,0.632,1.0,0.688,72.58,-2.81
1.0,1.0,0.621,1.0,0.702,73.61,-4.13
1.0,1.0,0.614,1.0,0.712,72.75,-4.3
1.0,1.0,0.548,1.0,0.693,72.8,-4.23
0.952,1.0,0.094,1.0,0.665,70.08,-4.76
0.974,1.0,0.089,1.0,0.66,76.43,-3.82
0.986,1.0,0.266,1.0,0.674,77.42,-4.0
1.0,1.0,0.277,1.0,0.716,78.34,-4.43
1.0,1.0,0.238,1.0,0.698,81.54,-3.89
1.0,1.0,0.18,1.0,0.702,78.53,-10.04
1.0,1.0,0.149,1.0,0.693,76.78,-9.38
1.0,1.0,0.125,1.0,0.693,79.7,-9.04
1.0,1.0,0.133,1.0,0.698,81.17,-3.59
1.0,1.0,0.136,1.0,0.702,80.95,-4.6
1.0,1.0,0.144,1.0,0.693,83.42,-6.58
1.0,1.0,0.157,1.0,0.693,80.8,-8.97
1.0,1.0,0.188,1.0,0.688,81.76,-7.59
1.0,1.0,0.193,1.0,0.688,81.92,-6.7
1.0,1.0,0.204,1.0,0.688,81.72,-7.89
1.0,1.0,0.206,1.0,0.698,80.97,-6.37
1.0,1.0,0.191,1.0,0.698,80.76,-9.21
1.0,1.0,0.193,1.0,0.698,81.4,-7.57
1.0,1.0,0.196,1.0,0.698,81.93,-6.42
1.0,1.0,0.201,1.0,0.693,82.32,-7.56
1.0,1.0,0.201,1.0,0.693,81.61,-7.7
1.0,1.0,0.198,1.0,0.693,80.85,-7.93
1.0,1.0,0.206,1.0,0.698,80.21,-9.39
1.0,1.0,0.222,1.0,0.707,80.1,-8.05
1.0,1.0,0.256,1.0,0.712,76.95,-12.33
1.0,1.0,0.279,1.0,0.712,78.91,-10.62
1.0,1.0,0.227,1.0,0.707,77.87,-6.43
0.947,1.0,0.214,1.0,0.698,78.59,-9.37
0.949,1.0,0.219,1.0,0.698,79.27,-7.9
0.954,1.0,0.222,1.0,0.693,79.98,-7.26
0.947,1.0,0.198,1.0,0.693,74.97,2.54
0.915,1.0,0.159,1.0,0.693,77.29,3.58
0.868,1.0,0.149,1.0,0.693,67.38,-6.16
0.801,1.0,0.141,1.0,0.688,78.67,-1.06
0.741,1.0,0.099,1.0,0.688,74.74,-2.51
0.739,1.0,0.081,1.0,0.674,72.88,-3.42
0.723,1.0,0.003,1.0,0.633,78.74,-2.36
0.75,1.0,0.0,1.0,0.656,77.14,-4.25
0.799,1.0,0.003,1.0,0.674,76.73,-3.73
0.811,1.0,0.01,1.0,0.679,75.12,3.41
0.801,1.0,0.008,1.0,0.665,78.1,-4.23
0.791,1.0,0.003,1.0,0.67,74.22,-1.97
0.834,1.0,0.0,1.0,0.684,78.58,-5.05
0.862,1.0,0.0,1.0,0.698,75.84,-4.23
0.845,1.0,0.0,1.0,0.684,75.09,-6.19
0.843,1.0,0.0,1.0,0.688,77.03,-3.19
0.834,1.0,0.0,1.0,0.688,74.37,-0.32
0.819,1.0,0.0,1.0,0.679,75.34,-2.17
0.817,1.0,0.0,1.0,0.684,75.54,-1.58
0.829,1.0,0.0,1.0,0.693,74.71,-0.48
0.832,1.0,0.0,1.0,0.684,73.4,-1.6
0.832,1.0,0.0,1.0,0.679,75.09,-5.0
0.831,1.0,0.003,1.0,0.684,75.2,-4.3
0.834,1.0,0.005,1.0,0.688,73.03,-4.68
0.83,1.0,0.008,1.0,0.688,73.7,-5.86
0.821,1.0,0.008,1.0,0.688,75.14,-0.78
