f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.548,1.0,1.0,78.82,-4.0
1.0,1.0,0.559,1.0,1.0,78.1,-4.66
1.0,1.0,0.556,1.0,1.0,78.04,-6.04
1.0,1.0,0.567,1.0,1.0,79.1,-1.79
1.0,1.0,0.606,1.0,1.0,78.09,-4.95
1.0,1.0,0.603,1.0,1.0,78.14,-5.36
1.0,1.0,0.666,1.0,1.0,77.95,-6.3
1.0,1.0,0.663,1.0,1.0,78.43,-5.96
1.0,1.0,0.658,1.0,1.0,78.95,-4.44
1.0,1.0,0.653,1.0,1.0,79.02,-5.0
1.0,1.0,0.637,1.0,1.0,79.28,-5.94
1.0,1.0,0.681,1.0,1.0,76.86,-6.26
1.0,1.0,0.681,1.0,1.0,79.09,-4.4
1.0,1.0,0.663,1.0,1.0,78.45,-4.04
1.0,1.0,0.65,1.0,1.0,78.96,-4.0
1.0,1.0,0.645,1.0,1.0,78.86,-5.62
1.0,1.0,0.645,1.0,1.0,78.78,-5.4
1.0,1.0,0.648,1.0,1.0,79.06,-3.51
1.0,1.0,0.64,1.0,1.0,78.82,-5.35
1.0,1.0,0.629,1.0,1.0,78.33,-6.05
1.0,1.0,0.624,1.0,1.0,78.77,-6.07
1.0,1.0,0.614,1.0,1.0,78.65,-4.85
1.0,1.0,0.606,1.0,1.0,78.63,-3.95
1.0,1.0,0.593,1.0,1.0,78.5,-5.82
1.0,1.0,0.319,1.0,1.0,79.27,-6.02
1.0,1.0,0.0,1.0,1.0,79.19,-4.87
1.0,1.0,0.0,1.0,1.0,79.03,-4.37
1.0,1.0,0.0,1.0,1.0,79.36,-5.26
1.0,1.0,0.0,1.0,1.0,79.24,-4.44
1.0,1.0,0.013,1.0,1.0,78.85,-4.03
1.0,1.0,0.084,1.0,1.0,78.64,-5.0
1.0,1.0,0.031,1.0,1.0,79.66,-4.77
1.0,1.0,0.055,1.0,1.0,79.26,-3.47
1.0,1.0,0.073,1.0,1.0,76.56,-7.46
1.0,1.0,0.065,1.0,1.0,79.58,-4.02
1.0,1.0,0.06,1.0,1.0,80.09,-2.55
1.0,1.0,0.073,1.0,1.0,77.1,-7.09
1.0,1.0,0.151,1.0,1.0,79.74,-4.82
1.0,1.0,0.264,1.0,1.0,79.79,-4.47
1.0,1.0,0.272,1.0,1.0,78.31,-6.28
1.0,1.0,0.272,1.0,1.0,79.77,-3.89
1.0,1.0,0.279,1.0,1.0,79.5,-4.34
