f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.561,1.0,0.702,87.05,0.92
1.0,1.0,0.564,1.0,0.73,86.34,0.36
1.0,1.0,0.567,1.0,0.744,85.91,-0.87
1.0,1.0,0.564,1.0,0.735,86.81,-0.71
1.0,1.0,0.554,1.0,0.726,86.62,0.09
1.0,1.0,0.54,1.0,0.716,88.25,0.11
1.0,1.0,0.538,1.0,0.716,87.95,0.35
1.0,1.0,0.538,1.0,0.712,86.71,-1.08
1.0,1.0,0.538,1.0,0.712,87.86,-0.5
1.0,1.0,0.512,1.0,0.712,85.8,0.51
1.0,1.0,0.499,1.0,0.712,86.74,0.95
1.0,1.0,0.475,1.0,0.712,86.64,-0.66
1.0,1.0,0.449,1.0,0.716,86.41,-0.17
1.0,1.0,0.446,1.0,0.702,86.2,1.54
1.0,1.0,0.342,1.0,0.623,87.57,-0.04
1.0,1.0,0.29,1.0,0.619,86.91,0.25
1.0,1.0,0.261,1.0,0.619,87.65,0.21
1.0,1.0,0.206,1.0,0.619,87.77,1.4
1.0,1.0,0.211,1.0,0.619,88.24,0.97
1.0,1.0,0.222,1.0,0.619,87.15,0.91
1.0,1.0,0.23,1.0,0.623,87.31,-0.65
1.0,1.0,0.24,1.0,0.312,87.34,-0.13
1.0,1.0,0.23,1.0,0.0,88.45,-0.13
1.0,1.0,0.243,1.0,0.0,88.67,-0.85
1.0,1.0,0.243,1.0,0.0,88.0,2.0
1.0,1.0,0.23,1.0,0.0,88.49,-0.38
1.0,1.0,0.217,1.0,0.0,88.76,0.33
1.0,1.0,0.204,1.0,0.0,89.17,0.41
1.0,1.0,0.196,1.0,0.0,88.47,-0.18
1.0,1.0,0.193,1.0,0.0,88.35,0.71
1.0,1.0,0.196,1.0,0.0,88.07,0.43
1.0,1.0,0.196,1.0,0.0,89.13,0.65
1.0,1.0,0.196,1.0,0.009,88.52,0.25
1.0,1.0,0.196,1.0,0.042,88.91,0.35
1.0,1.0,0.198,1.0,0.047,89.22,0.44
1.0,1.0,0.178,1.0,0.047,88.77,-0.82
1.0,1.0,0.172,1.0,0.079,89.28,0.46
1.0,1.0,0.172,1.0,0.149,88.47,1.41
1.0,1.0,0.175,1.0,0.149,88.94,0.96
1.0,1.0,0.196,1.0,0.172,89.08,0.8
1.0,1.0,0.198,1.0,0.181,88.73,1.19
1.0,1.0,0.219,1.0,0.191,89.11,-0.6
1.0,1.0,0.225,1.0,0.191,88.83,0.19
1.0,1.0,0.225,1.0,0.186,89.23,0.01
1.0,1.0,0.232,1.0,0.186,89.4,-0.54
1.0,1.0,0.232,1.0,0.181,87.88,-2.07
1.0,1.0,0.232,1.0,0.172,88.59,-1.32
1.0,1.0,0.204,1.0,0.121,89.19,-0.53
1.0,1.0,0.17,1.0,0.112,88.82,-0.95
1.0,1.0,0.086,1.0,0.126,89.52,-0.43
1.0,1.0,0.06,1.0,0.121,88.8,-1.2
1.0,1.0,0.047,1.0,0.135,88.18,-1.8
1.0,1.0,0.047,1.0,0.153,88.72,0.88
1.0,1.0,0.052,1.0,0.167,88.96,-0.97
1.0,1.0,0.06,1.0,0.177,88.7,-1.16
1.0,1.0,0.07,1.0,0.181,88.76,-1.19
1.0,1.0,0.076,1.0,0.177,89.06,-0.94
1.0,1.0,0.076,1.0,0.181,89.1,-0.87
1.0,1.0,0.076,1.0,0.181,89.07,-0.72
1.0,1.0,0.081,1.0,0.186,89.28,0.55
1.0,1.0,0.078,1.0,0.181,88.87,-0.91
1.0,1.0,0.076,1.0,0.177,88.97,-0.82
1.0,1.0,0.07,1.0,0.186,88.67,-0.17
1.0,1.0,0.076,1.0,0.223,88.25,0.14
1.0,1.0,0.078,1.0,0.27,89.49,-0.51
1.0,1.0,0.097,1.0,0.34,88.6,-1.4
1.0,1.0,0.099,1.0,0.349,89.26,-0.74
1.0,1.0,0.117,1.0,0.344,89.76,0.18
1.0,1.0,0.133,1.0,0.335,87.6,-2.04
1.0,1.0,0.144,1.0,0.321,85.89,-3.72
1.0,1.0,0.144,1.0,0.321,89.71,0.07
1.0,1.0,0.141,1.0,0.302,86.78,0.06
1.0,1.0,0.112,1.0,0.265,86.68,-3.22
1.0,1.0,0.097,1.0,0.27,87.54,-1.3
1.0,1.0,0.078,1.0,0.274,88.62,0.14
1.0,1.0,0.076,1.0,0.274,87.24,-2.39
1.0,1.0,0.078,1.0,0.27,85.94,-2.52
1.0,1.0,0.084,1.0,0.274,88.97,0.57
1.0,1.0,0.094,1.0,0.27,87.5,2.49
1.0,1.0,0.151,1.0,0.298,89.56,0.04
1.0,1.0,0.115,1.0,0.298,89.12,0.06
1.0,1.0,0.112,1.0,0.293,88.01,-0.23
1.0,1.0,0.11,1.0,0.274,86.31,-2.93
1.0,1.0,0.104,1.0,0.27,88.78,-1.12
1.0,1.0,0.086,1.0,0.265,87.48,-1.87
1.0,1.0,0.091,1.0,0.265,88.16,0.04
1.0,1.0,0.097,1.0,0.27,88.36,-1.53
1.0,1.0,0.104,1.0,0.265,81.84,-8.16
1.0,1.0,0.11,1.0,0.265,82.9,-7.1
1.0,1.0,0.107,1.0,0.27,83.46,-6.48
1.0,1.0,0.107,1.0,0.265,84.43,-5.57
1.0,1.0,0.107,1.0,0.265,86.86,-2.19
1.0,1.0,0.11,1.0,0.26,84.72,-4.97
1.0,1.0,0.11,1.0,0.26,84.55,-4.71
1.0,1.0,0.11,1.0,0.256,87.31,-2.61
1.0,1.0,0.107,1.0,0.256,84.26,-5.72
1.0,1.0,0.107,1.0,0.251,86.06,-3.94
1.0,1.0,0.107,1.0,0.251,84.05,-5.75
1.0,1.0,0.107,1.0,0.251,85.55,-4.44
1.0,1.0,0.11,1.0,0.251,84.49,-5.48
1.0,1.0,0.11,1.0,0.256,84.22,-5.77
1.0,1.0,0.107,1.0,0.247,83.58,-6.4
1.0,1.0,0.11,1.0,0.256,82.54,-7.46
1.0,1.0,0.11,1.0,0.256,84.28,-5.72
1.0,1.0,0.11,1.0,0.26,85.2,-4.8
1.0,1.0,0.11,1.0,0.265,83.62,-6.38
1.0,1.0,0.115,1.0,0.26,82.58,-7.42
1.0,1.0,0.112,1.0,0.256,83.55,-6.33
1.0,1.0,0.112,1.0,0.256,83.06,-6.94
1.0,1.0,0.112,1.0,0.256,84.29,-5.33
1.0,1.0,0.112,1.0,0.251,82.82,-7.18
1.0,1.0,0.112,1.0,0.256,82.87,-6.49
1.0,1.0,0.112,1.0,0.256,82.45,-7.55
1.0,1.0,0.112,1.0,0.251,83.08,-6.26
1.0,1.0,0.112,1.0,0.256,83.75,-6.19
1.0,1.0,0.112,1.0,0.256,83.19,-6.54
1.0,1.0,0.11,1.0,0.256,83.63,-6.22
1.0,1.0,0.11,1.0,0.256,83.02,-6.55
1.0,1.0,0.112,1.0,0.256,84.92,-5.06
1.0,1.0,0.112,1.0,0.256,83.55,-6.02
1.0,1.0,0.11,1.0,0.256,82.97,-6.99
1.0,1.0,0.11,1.0,0.26,82.05,-7.47
1.0,1.0,0.11,1.0,0.26,84.08,-5.46
1.0,1.0,0.11,1.0,0.26,81.3,-8.47
1.0,1.0,0.11,1.0,0.26,84.39,-5.28
1.0,1.0,0.112,1.0,0.26,81.25,-8.47
1.0,1.0,0.11,1.0,0.265,83.24,-6.24
1.0,1.0,0.112,1.0,0.26,83.5,-6.1
1.0,1.0,0.112,1.0,0.26,85.01,-4.56
1.0,1.0,0.115,1.0,0.265,82.31,-7.56
1.0,1.0,0.112,1.0,0.265,82.89,-6.51
1.0,1.0,0.115,1.0,0.265,82.74,-7.15
1.0,1.0,0.112,1.0,0.265,84.81,-4.76
1.0,1.0,0.115,1.0,0.26,81.83,-8.08
1.0,1.0,0.115,1.0,0.265,84.37,-4.77
1.0,1.0,0.115,1.0,0.26,82.6,-7.39
1.0,1.0,0.115,1.0,0.265,82.5,-5.12
1.0,1.0,0.086,1.0,0.247,83.25,-6.28
1.0,1.0,0.052,1.0,0.242,83.07,-6.72
1.0,1.0,0.013,0.988,0.205,82.67,-7.13
1.0,1.0,0.018,0.988,0.209,84.97,-4.9
1.0,1.0,0.018,1.0,0.209,86.37,-3.52
1.0,1.0,0.023,1.0,0.195,85.95,-4.01
