f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.783,1.0,1.0,87.48,0.79
1.0,1.0,0.802,1.0,1.0,84.52,4.29
1.0,1.0,0.807,1.0,1.0,84.34,5.37
1.0,1.0,0.807,1.0,1.0,84.72,5.22
1.0,1.0,0.833,1.0,1.0,83.64,5.0
1.0,1.0,0.83,1.0,1.0,84.55,3.57
1.0,1.0,0.828,1.0,1.0,78.5,-7.14
1.0,1.0,0.817,1.0,1.0,83.94,-0.94
1.0,1.0,0.815,1.0,1.0,83.07,0.68
1.0,1.0,0.807,1.0,1.0,83.24,-2.53
1.0,1.0,0.804,1.0,1.0,82.63,0.73
1.0,1.0,0.802,1.0,1.0,80.81,-0.25
1.0,1.0,0.799,1.0,1.0,81.63,1.28
1.0,1.0,0.799,1.0,1.0,80.92,1.84
1.0,1.0,0.794,1.0,1.0,81.44,2.34
1.0,1.0,0.783,1.0,1.0,82.59,1.92
1.0,1.0,0.781,1.0,1.0,84.4,0.35
1.0,1.0,0.781,1.0,1.0,81.12,2.19
1.0,1.0,0.781,1.0,1.0,83.36,0.32
1.0,1.0,0.781,1.0,1.0,82.38,2.64
1.0,1.0,0.778,1.0,1.0,82.99,1.07
1.0,1.0,0.778,1.0,1.0,83.76,1.05
1.0,1.0,0.778,1.0,1.0,82.84,0.84
1.0,1.0,0.775,1.0,1.0,82.77,1.17
1.0,1.0,0.775,1.0,1.0,82.42,1.6
1.0,1.0,0.775,1.0,1.0,84.31,0.2
1.0,1.0,0.778,1.0,1.0,83.9,-1.02
1.0,1.0,0.775,1.0,1.0,83.41,0.84
1.0,1.0,0.775,1.0,1.0,83.0,0.2
1.0,1.0,0.775,1.0,1.0,83.66,-2.64
1.0,1.0,0.775,1.0,1.0,83.35,-0.42
1.0,1.0,0.775,1.0,1.0,84.67,-1.02
1.0,1.0,0.775,1.0,1.0,84.04,0.31
1.0,1.0,0.775,1.0,1.0,83.66,0.45
1.0,1.0,0.775,1.0,1.0,87.17,-0.89
1.0,1.0,0.773,1.0,1.0,83.54,1.37
1.0,1.0,0.773,1.0,1.0,82.21,3.68
1.0,1.0,0.773,1.0,1.0,84.43,0.01
1.0,1.0,0.775,1.0,1.0,83.63,0.73
1.0,1.0,0.775,1.0,1.0,83.12,0.42
1.0,1.0,0.773,1.0,1.0,83.54,0.24
1.0,1.0,0.773,1.0,1.0,83.39,-1.09
1.0,1.0,0.773,1.0,1.0,82.7,0.45
1.0,1.0,0.773,1.0,1.0,82.63,-0.14
1.0,1.0,0.773,1.0,1.0,83.84,-1.73
1.0,1.0,0.77,1.0,1.0,83.39,-0.38
1.0,1.0,0.773,1.0,1.0,83.51,-0.62
1.0,1.0,0.773,1.0,1.0,82.47,1.0
1.0,1.0,0.773,1.0,1.0,82.91,1.03
1.0,1.0,0.773,1.0,1.0,82.92,0.27
1.0,1.0,0.773,1.0,1.0,83.71,-0.11
1.0,1.0,0.77,1.0,1.0,84.04,-1.75
1.0,1.0,0.77,1.0,1.0,81.04,2.03
1.0,1.0,0.77,1.0,1.0,81.7,1.01
1.0,1.0,0.77,1.0,1.0,82.59,0.08
1.0,1.0,0.77,1.0,1.0,83.57,0.25
1.0,1.0,0.762,1.0,1.0,81.99,0.17
1.0,1.0,0.76,1.0,1.0,81.95,0.27
