f1,f2,f3,f4,f5,pitch,roll
0.698,1.0,0.909,1.0,0.609,85.78,3.63
0.696,1.0,0.909,1.0,0.609,86.72,2.54
0.696,1.0,0.909,1.0,0.605,87.83,1.63
0.699,1.0,0.909,1.0,0.605,88.13,1.57
0.689,1.0,0.909,1.0,0.605,86.66,3.29
0.688,1.0,0.909,1.0,0.609,87.17,2.7
0.686,1.0,0.906,1.0,0.614,86.65,2.89
0.684,1.0,0.909,1.0,0.614,86.76,2.81
0.681,1.0,0.903,1.0,0.614,87.08,2.65
0.677,1.0,0.903,1.0,0.609,87.46,1.98
0.671,1.0,0.903,1.0,0.614,87.09,1.75
0.667,1.0,0.903,1.0,0.609,87.46,1.64
0.662,1.0,0.903,1.0,0.614,86.67,3.03
0.662,1.0,0.903,1.0,0.614,86.25,3.47
0.669,1.0,0.903,1.0,0.609,87.18,2.79
0.662,1.0,0.903,1.0,0.609,87.62,1.99
0.653,1.0,0.903,1.0,0.609,87.94,1.23
0.648,1.0,0.903,1.0,0.609,87.61,2.07
0.644,1.0,0.903,1.0,0.609,87.63,2.16
0.649,1.0,0.903,1.0,0.605,87.47,2.01
0.658,1.0,0.903,1.0,0.609,87.11,2.76
0.646,1.0,0.903,1.0,0.609,87.27,2.15
0.642,1.0,0.903,1.0,0.609,87.11,1.73
0.634,1.0,0.901,1.0,0.614,86.86,1.35
0.62,1.0,0.901,1.0,0.614,87.97,1.08
0.61,1.0,0.901,1.0,0.614,88.43,0.87
0.603,1.0,0.901,1.0,0.614,87.43,1.36
0.603,1.0,0.901,1.0,0.614,86.99,1.82
0.601,1.0,0.901,1.0,0.609,86.3,1.79
0.602,1.0,0.901,1.0,0.609,86.83,1.35
0.603,1.0,0.901,1.0,0.614,86.73,1.47
0.603,1.0,0.901,1.0,0.609,86.98,1.24
0.607,1.0,0.901,1.0,0.609,86.52,1.47
0.605,1.0,0.901,1.0,0.609,87.73,0.4
0.608,1.0,0.901,1.0,0.614,86.63,1.66
0.601,1.0,0.898,1.0,0.614,86.75,1.07
0.6,1.0,0.898,1.0,0.609,86.5,0.84
0.597,1.0,0.898,1.0,0.609,86.36,1.54
0.597,1.0,0.898,1.0,0.609,87.37,0.46
0.586,1.0,0.898,1.0,0.609,87.14,1.56
0.568,1.0,0.898,1.0,0.623,85.55,2.59
0.401,1.0,0.898,1.0,0.647,85.16,2.73
0.174,1.0,0.898,1.0,0.642,85.59,2.99
0.249,1.0,0.896,1.0,0.642,86.11,2.36
0.355,1.0,0.898,1.0,0.637,85.87,2.06
0.421,1.0,0.898,1.0,0.637,85.7,1.61
0.415,1.0,0.898,1.0,0.633,85.81,2.07
0.454,1.0,0.898,1.0,0.633,86.33,1.77
0.612,1.0,0.898,1.0,0.628,85.87,2.17
0.968,1.0,0.896,1.0,0.623,86.48,1.88
1.0,1.0,0.896,1.0,0.619,86.27,1.89
1.0,1.0,0.896,1.0,0.609,87.46,1.34
1.0,1.0,0.896,1.0,0.609,86.85,2.12
1.0,1.0,0.896,1.0,0.628,86.85,1.22
0.817,1.0,0.896,1.0,0.623,86.97,2.37
0.739,1.0,0.893,1.0,0.619,86.11,2.22
0.522,1.0,0.893,1.0,0.633,87.36,0.95
0.424,1.0,0.893,1.0,0.623,86.41,2.42
0.436,1.0,0.893,1.0,0.619,87.05,2.46
0.467,1.0,0.893,1.0,0.619,87.94,1.74
0.471,1.0,0.893,1.0,0.619,87.03,2.54
0.435,1.0,0.893,1.0,0.619,87.35,2.01
0.459,1.0,0.893,1.0,0.619,86.18,1.99
0.461,1.0,0.893,1.0,0.623,86.26,1.7
0.462,1.0,0.893,1.0,0.619,86.67,1.55
0.464,1.0,0.893,1.0,0.619,87.12,1.96
0.464,1.0,0.893,1.0,0.623,86.84,2.37
0.459,1.0,0.893,1.0,0.619,87.06,1.78
0.462,1.0,0.893,1.0,0.619,86.45,2.61
0.467,1.0,0.89,1.0,0.619,86.38,2.65
0.634,1.0,0.89,1.0,0.614,86.74,2.84
0.695,1.0,0.89,1.0,0.609,87.69,1.66
0.724,1.0,0.893,1.0,0.609,87.7,1.79
0.72,1.0,0.893,1.0,0.609,87.31,2.01
0.768,1.0,0.893,1.0,0.605,86.75,2.65
0.744,1.0,0.893,1.0,0.605,87.04,2.22
0.726,1.0,0.893,1.0,0.605,87.09,2.12
0.928,1.0,0.893,1.0,0.605,87.2,2.11
0.862,1.0,0.906,1.0,0.628,85.82,2.78
0.708,1.0,0.927,1.0,0.647,86.01,2.45
0.693,1.0,0.932,1.0,0.642,88.04,0.94
0.69,1.0,0.93,1.0,0.623,86.14,3.22
0.802,1.0,0.93,1.0,0.623,87.1,2.22
0.759,1.0,0.93,1.0,0.619,86.04,2.42
0.744,1.0,0.93,1.0,0.614,86.45,2.42
0.629,1.0,0.927,1.0,0.609,87.6,1.22
0.525,1.0,0.927,1.0,0.609,86.22,2.58
0.528,1.0,0.924,1.0,0.614,87.15,1.48
0.503,1.0,0.911,1.0,0.619,86.19,3.78
0.527,1.0,0.911,1.0,0.609,87.03,1.92
0.63,1.0,0.909,1.0,0.605,86.6,2.07
0.709,1.0,0.909,1.0,0.605,87.28,1.33
0.684,1.0,0.909,1.0,0.6,87.01,1.58
0.701,1.0,0.909,1.0,0.628,84.61,2.82
0.382,1.0,0.909,1.0,0.623,87.16,0.62
0.366,1.0,0.906,1.0,0.628,87.48,1.03
