f1,f2,f3,f4,f5,pitch,roll
1.0,1.0,0.097,1.0,1.0,40.5,46.93
1.0,1.0,0.097,1.0,1.0,40.8,46.61
1.0,1.0,0.097,1.0,1.0,40.73,46.57
1.0,1.0,0.094,1.0,1.0,41.85,45.01
1.0,1.0,0.097,1.0,1.0,40.41,46.71
1.0,1.0,0.094,1.0,1.0,40.42,47.59
1.0,1.0,0.112,1.0,1.0,42.22,44.19
1.0,1.0,0.102,1.0,1.0,40.95,45.39
1.0,1.0,0.102,1.0,1.0,42.14,44.68
1.0,1.0,0.102,1.0,1.0,41.89,44.91
1.0,1.0,0.102,1.0,1.0,41.54,44.97
1.0,1.0,0.104,1.0,1.0,41.24,45.06
1.0,1.0,0.104,1.0,1.0,42.45,44.22
1.0,1.0,0.104,1.0,1.0,42.38,44.46
1.0,1.0,0.104,1.0,1.0,42.03,44.5
1.0,1.0,0.104,1.0,1.0,42.8,43.89
1.0,1.0,0.104,1.0,1.0,42.27,44.38
1.0,1.0,0.107,1.0,1.0,42.06,44.72
1.0,1.0,0.104,1.0,1.0,43.27,43.7
1.0,1.0,0.104,1.0,1.0,42.13,44.32
1.0,1.0,0.102,1.0,1.0,43.57,42.98
1.0,1.0,0.097,1.0,1.0,42.56,44.09
1.0,1.0,0.094,1.0,1.0,43.15,43.6
1.0,1.0,0.094,1.0,1.0,42.18,44.38
1.0,1.0,0.091,1.0,1.0,42.81,43.34
1.0,1.0,0.094,1.0,1.0,42.65,43.3
1.0,1.0,0.091,1.0,1.0,42.93,43.12
1.0,1.0,0.091,1.0,1.0,42.14,43.89
1.0,1.0,0.091,1.0,1.0,42.15,43.87
1.0,1.0,0.089,1.0,1.0,43.0,43.2
1.0,1.0,0.089,1.0,1.0,42.59,43.46
1.0,1.0,0.089,1.0,1.0,43.03,43.19
1.0,1.0,0.089,1.0,1.0,43.24,42.81
1.0,1.0,0.089,1.0,1.0,42.46,42.93
1.0,1.0,0.091,1.0,1.0,42.49,43.15
1.0,1.0,0.091,1.0,1.0,42.04,43.47
1.0,1.0,0.091,1.0,1.0,42.07,43.9
1.0,1.0,0.099,1.0,1.0,42.73,42.83
1.0,1.0,0.097,1.0,1.0,42.94,42.55
1.0,1.0,0.097,1.0,1.0,42.68,42.84
1.0,1.0,0.097,1.0,1.0,42.53,42.94
1.0,1.0,0.099,1.0,1.0,42.57,43.32
1.0,1.0,0.099,1.0,1.0,43.01,42.79
1.0,1.0,0.099,1.0,1.0,42.47,42.55
1.0,1.0,0.097,1.0,1.0,42.38,42.86
