f1,f2,f3,f4,f5,pitch,roll
0.254,0.433,0.334,0.0,0.874,85.08,-4.44
0.306,0.5,0.332,0.0,0.898,80.11,-8.89
0.295,0.417,0.332,0.0,0.874,81.83,-8.08
0.281,0.4,0.332,0.0,0.856,82.99,-6.96
0.288,0.4,0.332,0.0,0.86,81.83,-8.17
0.268,0.4,0.352,0.0,0.851,82.71,-7.22
0.258,0.367,0.363,0.0,0.851,83.49,-6.06
0.244,0.333,0.36,0.0,0.847,83.49,-5.27
0.242,0.333,0.36,0.0,0.847,83.69,-5.67
0.239,0.317,0.358,0.0,0.842,83.22,-6.33
0.234,0.317,0.352,0.0,0.837,82.84,-6.91
0.231,0.317,0.35,0.0,0.833,83.01,-6.44
0.234,0.4,0.345,0.0,0.837,82.88,-6.89
0.256,0.417,0.342,0.0,0.842,83.1,-6.46
0.251,0.383,0.342,0.0,0.837,83.84,-5.79
0.24,0.35,0.339,0.0,0.833,83.02,-6.5
0.23,0.333,0.339,0.0,0.823,83.88,-5.84
0.226,0.317,0.339,0.0,0.814,83.16,-6.74
0.238,0.317,0.342,0.0,0.805,82.92,-7.03
0.175,0.3,0.345,0.0,0.819,81.76,-7.84
0.014,0.3,0.347,0.0,0.809,82.76,-7.24
0.0,0.283,0.35,0.0,0.772,82.66,-7.33
0.006,0.3,0.345,0.0,0.712,83.17,-6.83
0.245,0.267,0.345,0.0,0.716,83.68,-6.3
0.264,0.25,0.342,0.0,0.73,84.35,-5.64
0.286,0.233,0.339,0.0,0.735,83.53,-6.45
0.257,0.233,0.339,0.0,0.74,84.0,-6.0
0.231,0.233,0.342,0.0,0.749,83.94,-6.03
0.085,0.217,0.347,0.0,0.749,84.73,-5.27
0.0,0.217,0.347,0.0,0.74,84.31,-5.69
0.0,0.217,0.347,0.0,0.726,84.89,-5.0
0.0,0.217,0.345,0.0,0.721,84.88,-5.09
0.0,0.217,0.345,0.0,0.721,85.08,-4.8
0.004,0.2,0.345,0.0,0.721,84.41,-5.35
0.095,0.2,0.342,0.0,0.716,84.65,-5.27
0.115,0.2,0.342,0.0,0.716,85.18,-4.78
0.1,0.2,0.342,0.0,0.716,85.12,-4.88
0.097,0.183,0.339,0.0,0.716,85.03,-4.92
0.089,0.2,0.339,0.0,0.716,85.08,-4.89
0.086,0.2,0.339,0.0,0.716,84.82,-5.14
0.085,0.2,0.339,0.0,0.716,85.0,-4.94
0.086,0.2,0.339,0.0,0.716,85.16,-4.72
0.087,0.2,0.339,0.0,0.716,82.28,-7.09
0.089,0.233,0.337,0.0,0.712,80.2,-9.33
0.18,0.217,0.337,0.0,0.712,80.01,-8.61
0.157,0.267,0.337,0.0,0.707,79.52,-10.23
0.147,0.267,0.337,0.0,0.707,81.66,-8.31
0.135,0.233,0.337,0.0,0.707,80.89,-9.08
0.133,0.217,0.337,0.0,0.707,81.82,-8.14
0.129,0.2,0.337,0.0,0.707,82.36,-7.5
0.125,0.183,0.337,0.0,0.712,81.78,-8.22
0.123,0.183,0.337,0.0,0.707,81.24,-8.72
0.12,0.183,0.334,0.0,0.707,82.62,-7.37
0.116,0.167,0.337,0.0,0.707,82.96,-7.03
0.111,0.183,0.337,0.0,0.707,81.71,-8.22
0.109,0.167,0.337,0.0,0.707,82.17,-7.69
0.109,0.167,0.337,0.0,0.707,82.54,-7.46
0.108,0.167,0.337,0.0,0.707,82.61,-7.36
0.107,0.167,0.337,0.0,0.712,81.76,-8.24
0.107,0.167,0.337,0.0,0.712,82.72,-7.27
0.105,0.167,0.337,0.0,0.712,83.88,-6.11
0.105,0.183,0.334,0.0,0.707,81.88,-8.1
0.104,0.183,0.334,0.0,0.707,81.48,-8.51
0.109,0.167,0.334,0.0,0.707,81.74,-8.17
0.124,0.167,0.332,0.0,0.702,81.82,-8.11
0.118,0.167,0.332,0.0,0.707,81.44,-8.56
0.113,0.15,0.332,0.0,0.707,80.01,-9.98
0.102,0.2,0.337,0.0,0.693,77.84,-12.12
0.091,0.3,0.339,0.0,0.67,82.8,-7.04
0.084,0.283,0.339,0.0,0.67,74.96,-15.0
0.072,0.3,0.342,0.0,0.67,77.13,-12.18
0.06,0.283,0.339,0.0,0.651,79.07,-10.37
0.051,0.25,0.339,0.0,0.665,78.72,-11.27
0.076,0.25,0.337,0.0,0.679,79.69,-5.45
0.129,0.217,0.334,0.0,0.726,78.8,-6.1
0.213,0.2,0.332,0.0,0.791,78.37,-6.5
0.209,0.2,0.332,0.0,0.805,84.22,-2.71
0.195,0.167,0.332,0.0,0.786,81.15,-6.54
0.158,0.183,0.332,0.0,0.73,81.89,-5.81
0.151,0.183,0.334,0.0,0.726,82.56,-4.72
0.147,0.2,0.334,0.0,0.721,81.86,-6.71
0.141,0.183,0.334,0.0,0.716,81.19,-7.63
0.139,0.2,0.334,0.0,0.716,80.23,-7.48
0.139,0.183,0.337,0.0,0.716,78.31,-10.7
0.136,0.183,0.337,0.0,0.712,80.37,-8.63
0.135,0.183,0.337,0.0,0.716,78.58,-9.02
0.126,0.167,0.337,0.0,0.707,80.4,-8.98
0.114,0.167,0.337,0.0,0.702,79.33,-9.95
0.105,0.15,0.337,0.0,0.698,79.46,-8.31
0.103,0.15,0.337,0.0,0.698,77.59,-10.67
0.1,0.133,0.337,0.0,0.702,78.05,-11.38
0.096,0.15,0.339,0.0,0.702,78.79,-10.5
0.096,0.167,0.337,0.0,0.698,77.68,-11.54
0.094,0.15,0.337,0.0,0.707,78.98,-10.42
0.101,0.15,0.337,0.0,0.688,78.93,-8.88
0.098,0.133,0.337,0.0,0.688,79.59,-10.09
0.096,0.133,0.337,0.0,0.688,79.17,-10.18
0.1,0.117,0.337,0.0,0.698,77.65,-9.35
0.1,0.133,0.337,0.0,0.698,78.23,-9.71
0.101,0.133,0.337,0.0,0.698,81.84,-6.37
0.099,0.133,0.337,0.0,0.698,79.6,-8.98
0.094,0.133,0.337,0.0,0.698,82.35,-6.62
0.092,0.133,0.337,0.0,0.693,79.86,-9.42
0.092,0.133,0.337,0.0,0.693,80.1,-8.92
0.092,0.117,0.337,0.0,0.693,81.21,-7.68
0.092,0.117,0.337,0.0,0.693,81.25,-7.59
0.091,0.133,0.337,0.0,0.693,81.31,-7.37
0.091,0.133,0.337,0.0,0.693,80.6,-7.69
0.092,0.117,0.337,0.0,0.693,80.49,-9.04
0.09,0.117,0.337,0.0,0.693,79.97,-8.95
0.09,0.117,0.337,0.0,0.693,79.7,-9.11
0.085,0.117,0.337,0.0,0.693,79.75,-9.59
0.085,0.117,0.337,0.0,0.693,80.67,-8.63
0.086,0.117,0.337,0.0,0.693,79.7,-9.69
0.085,0.117,0.337,0.0,0.693,79.41,-9.64
0.087,0.117,0.337,0.0,0.693,77.4,-10.97
0.085,0.1,0.337,0.0,0.693,80.29,-9.32
0.085,0.117,0.337,0.0,0.693,77.78,-11.2
0.086,0.1,0.337,0.0,0.693,78.24,-11.13
0.085,0.1,0.337,0.0,0.688,79.06,-10.3
0.088,0.1,0.337,0.0,0.693,79.05,-9.71
0.088,0.1,0.337,0.0,0.693,78.95,-10.19
0.087,0.1,0.337,0.0,0.693,78.97,-10.34
0.088,0.1,0.337,0.0,0.688,78.4,-10.52
0.087,0.1,0.337,0.0,0.693,79.47,-9.69
0.088,0.1,0.337,0.0,0.693,77.93,-10.91
0.088,0.1,0.337,0.0,0.688,79.18,-10.13
0.087,0.1,0.337,0.0,0.693,78.38,-10.4
0.087,0.1,0.337,0.0,0.693,78.21,-10.71
0.087,0.1,0.337,0.0,0.688,78.7,-10.33
0.087,0.1,0.337,0.0,0.688,78.68,-10.05
0.086,0.1,0.339,0.0,0.693,78.0,-10.83
0.086,0.1,0.337,0.0,0.688,77.44,-11.44
0.085,0.083,0.337,0.0,0.688,79.46,-9.22
0.085,0.1,0.337,0.0,0.688,78.57,-10.17
0.085,0.1,0.337,0.0,0.688,78.16,-10.72
0.085,0.1,0.337,0.0,0.693,78.69,-10.57
0.085,0.1,0.339,0.0,0.693,79.16,-9.65
0.085,0.083,0.337,0.0,0.693,77.86,-11.19
0.085,0.083,0.339,0.0,0.693,77.88,-10.65
0.085,0.1,0.339,0.0,0.693,78.84,-10.43
0.085,0.1,0.337,0.0,0.693,78.42,-10.52
0.085,0.1,0.337,0.0,0.688,79.46,-8.64
0.086,0.1,0.337,0.0,0.693,77.88,-10.74
0.092,0.15,0.334,0.0,0.693,78.27,-10.65
0.1,0.15,0.334,0.0,0.698,77.7,-10.99
0.098,0.117,0.334,0.0,0.693,77.84,-10.38
0.092,0.1,0.334,0.0,0.693,77.61,-10.43
0.089,0.1,0.334,0.0,0.693,78.82,-9.62
0.087,0.1,0.334,0.0,0.693,77.88,-10.08
0.082,0.1,0.334,0.0,0.693,77.38,-10.62
0.082,0.083,0.337,0.0,0.693,78.73,-10.09
0.081,0.083,0.334,0.0,0.693,78.15,-10.26
0.08,0.083,0.334,0.0,0.693,78.28,-10.78
0.081,0.083,0.337,0.0,0.693,77.02,-10.8
0.08,0.083,0.337,0.0,0.693,78.35,-10.35
0.08,0.067,0.337,0.0,0.693,77.75,-10.61
0.08,0.083,0.337,0.0,0.693,77.33,-10.45
0.08,0.067,0.337,0.0,0.693,78.1,-10.26
