f1,f2,f3,f4,f5,pitch,roll
0.632,0.467,0.465,0.488,1.0,34.93,52.42
0.638,0.467,0.462,0.488,1.0,27.69,58.6
0.639,0.467,0.457,0.488,1.0,35.04,52.23
0.641,0.433,0.454,0.488,1.0,31.47,55.97
0.647,0.433,0.454,0.479,1.0,31.86,56.01
0.616,0.417,0.462,0.479,1.0,31.01,57.74
0.618,0.383,0.46,0.479,1.0,30.54,58.0
0.609,0.383,0.457,0.479,1.0,32.94,56.13
0.604,0.383,0.457,0.471,1.0,31.06,58.22
0.602,0.383,0.457,0.471,1.0,31.24,58.05
0.608,0.367,0.454,0.471,1.0,34.84,53.78
0.606,0.383,0.454,0.471,1.0,33.89,52.99
0.611,0.383,0.454,0.471,1.0,34.53,54.38
0.611,0.383,0.454,0.463,1.0,35.23,51.75
0.613,0.383,0.454,0.463,1.0,35.13,53.46
0.617,0.383,0.454,0.463,1.0,34.91,53.45
0.616,0.383,0.454,0.463,1.0,34.18,53.64
0.616,0.367,0.454,0.463,1.0,32.0,56.03
0.615,0.367,0.454,0.463,1.0,34.91,52.47
0.615,0.367,0.454,0.463,1.0,34.4,53.16
0.618,0.367,0.454,0.455,1.0,35.94,52.44
0.618,0.35,0.454,0.455,1.0,34.66,52.96
0.618,0.35,0.454,0.455,1.0,35.15,52.86
0.621,0.35,0.454,0.455,1.0,35.24,52.71
0.623,0.35,0.452,0.455,1.0,35.48,51.95
0.624,0.35,0.452,0.455,1.0,35.07,52.71
0.624,0.333,0.452,0.455,1.0,35.9,51.54
0.623,0.35,0.452,0.455,1.0,34.68,52.85
0.633,0.333,0.452,0.455,1.0,36.29,51.18
0.638,0.333,0.449,0.455,1.0,35.35,52.19
0.639,0.333,0.452,0.446,1.0,35.74,51.65
0.639,0.333,0.452,0.446,1.0,35.12,52.0
0.632,0.333,0.452,0.446,1.0,35.41,51.79
0.635,0.333,0.449,0.446,1.0,34.74,52.34
0.637,0.333,0.449,0.446,1.0,34.58,52.54
0.633,0.333,0.449,0.446,1.0,35.42,51.77
0.632,0.333,0.449,0.446,1.0,35.2,52.04
0.631,0.317,0.449,0.446,1.0,35.51,51.88
0.621,0.333,0.449,0.438,1.0,35.0,51.96
0.624,0.317,0.449,0.438,1.0,35.68,51.42
0.63,0.317,0.449,0.438,1.0,35.19,52.22
0.631,0.317,0.449,0.438,1.0,35.92,51.36
0.63,0.317,0.449,0.438,1.0,36.24,50.66
0.627,0.317,0.446,0.438,1.0,35.6,51.31
0.628,0.317,0.446,0.438,1.0,35.93,51.16
0.627,0.317,0.446,0.438,1.0,35.61,51.74
0.624,0.317,0.446,0.438,1.0,35.96,51.25
0.631,0.317,0.446,0.43,1.0,35.73,51.43
0.625,0.317,0.446,0.43,1.0,36.48,50.79
0.622,0.333,0.446,0.43,1.0,35.91,51.38
0.624,0.3,0.446,0.43,1.0,36.14,50.73
0.621,0.3,0.446,0.43,1.0,35.42,51.95
