f1,f2,f3,f4,f5,pitch,roll
0.775,0.35,0.94,0.521,1.0,18.23,62.71
0.761,0.35,0.937,0.521,1.0,17.51,64.4
0.757,0.333,0.937,0.512,1.0,16.55,63.87
0.756,0.317,0.935,0.512,1.0,16.28,64.28
0.758,0.267,0.937,0.512,1.0,16.95,63.68
0.755,0.267,0.937,0.512,1.0,16.98,64.86
0.755,0.35,0.937,0.504,1.0,14.27,64.48
0.761,0.333,0.935,0.504,1.0,16.24,62.7
0.916,0.4,0.935,0.504,1.0,16.08,63.09
0.91,0.333,0.932,0.504,1.0,16.86,63.37
0.887,0.3,0.932,0.512,1.0,16.91,64.31
0.87,0.283,0.932,0.512,1.0,15.36,65.23
0.868,0.283,0.932,0.512,1.0,16.42,64.15
0.865,0.267,0.932,0.512,1.0,17.19,63.95
0.861,0.267,0.93,0.504,1.0,17.0,63.48
0.862,0.25,0.932,0.504,1.0,17.12,64.06
0.86,0.233,0.932,0.504,1.0,17.52,63.4
0.859,0.267,0.932,0.504,1.0,16.99,64.96
0.855,0.267,0.932,0.504,1.0,18.01,63.12
0.851,0.267,0.932,0.504,1.0,17.97,63.26
0.851,0.283,0.93,0.504,1.0,16.44,64.88
0.85,0.267,0.93,0.504,1.0,16.66,65.06
0.831,0.5,0.935,0.521,1.0,18.27,64.04
0.82,0.45,0.935,0.529,1.0,16.15,66.39
0.81,0.45,0.935,0.545,1.0,16.46,65.43
0.803,0.467,0.935,0.545,1.0,16.95,65.4
0.801,0.45,0.935,0.537,1.0,16.16,66.11
0.799,0.467,0.932,0.529,1.0,16.53,64.33
0.798,0.467,0.932,0.529,1.0,17.92,62.91
0.798,0.467,0.932,0.521,1.0,16.12,65.68
0.798,0.583,0.974,0.537,1.0,17.85,63.15
0.714,0.6,0.982,0.603,1.0,18.22,61.76
0.662,0.567,0.974,0.628,1.0,16.93,65.38
0.646,0.6,0.984,0.661,1.0,17.67,64.34
0.627,0.633,0.984,0.653,1.0,17.55,64.6
0.654,0.617,0.982,0.661,1.0,17.57,64.88
0.661,0.633,0.974,0.669,1.0,18.49,63.76
0.725,0.583,0.971,0.612,1.0,13.89,70.08
0.804,0.717,0.969,0.669,1.0,20.21,62.93
0.851,0.733,0.966,0.678,1.0,17.65,66.32
0.838,0.65,0.966,0.669,1.0,17.78,66.54
0.829,0.567,0.966,0.669,1.0,18.43,66.31
0.806,0.483,0.966,0.661,1.0,17.27,66.72
0.804,0.45,0.966,0.636,1.0,17.1,67.57
0.805,0.433,0.95,0.653,1.0,18.82,65.61
0.776,0.383,0.93,0.628,1.0,18.17,54.57
0.761,0.35,0.932,0.62,1.0,13.06,62.91
0.748,0.45,0.935,0.603,1.0,16.09,64.57
0.744,0.433,0.935,0.603,1.0,19.19,56.72
0.742,0.417,0.935,0.595,1.0,13.14,62.65
0.739,0.433,0.935,0.587,1.0,16.43,59.42
0.739,0.4,0.937,0.587,1.0,17.99,57.52
0.734,0.383,0.937,0.579,1.0,20.37,56.24
0.733,0.35,0.937,0.579,1.0,21.02,59.85
0.73,0.383,0.937,0.57,1.0,21.72,56.79
0.728,0.35,0.937,0.579,1.0,18.92,60.13
0.728,0.333,0.94,0.57,1.0,19.69,60.36
0.728,0.35,0.937,0.57,1.0,16.53,62.31
0.727,0.35,0.94,0.57,1.0,15.75,64.73
0.726,0.35,0.94,0.57,1.0,16.68,63.06
0.727,0.35,0.94,0.562,1.0,16.27,62.3
0.725,0.35,0.94,0.562,1.0,17.54,62.13
0.726,0.367,0.937,0.562,1.0,19.32,56.77
0.726,0.35,0.937,0.562,1.0,17.1,62.08
0.725,0.35,0.94,0.562,1.0,15.94,63.03
0.725,0.35,0.937,0.562,1.0,16.77,62.1
0.725,0.333,0.937,0.554,1.0,16.88,62.8
0.724,0.35,0.937,0.554,1.0,17.69,62.21
0.721,0.35,0.937,0.554,1.0,18.02,60.9
0.72,0.283,0.937,0.554,1.0,20.08,65.48
0.719,0.283,0.937,0.554,1.0,24.48,51.78
0.717,0.283,0.937,0.554,1.0,19.02,62.01
0.714,0.333,0.937,0.545,1.0,31.81,49.72
0.711,0.367,0.937,0.545,1.0,23.6,55.33
0.703,0.35,0.937,0.537,1.0,15.82,59.98
0.702,0.333,0.935,0.537,1.0,26.81,54.35
0.706,0.333,0.937,0.537,1.0,24.75,53.26
0.705,0.283,0.937,0.537,1.0,29.6,52.16
0.704,0.267,0.935,0.529,1.0,20.09,60.47
0.704,0.25,0.935,0.529,1.0,29.6,50.85
0.703,0.233,0.935,0.529,1.0,25.19,57.33
0.702,0.233,0.935,0.529,1.0,25.88,55.94
0.703,0.217,0.935,0.529,1.0,24.96,58.98
0.704,0.217,0.935,0.529,1.0,24.35,57.04
0.701,0.3,0.935,0.529,1.0,26.98,55.16
0.701,0.283,0.935,0.521,1.0,27.36,56.13
0.702,0.317,0.935,0.521,1.0,29.49,54.04
0.702,0.317,0.935,0.529,1.0,27.71,55.61
0.703,0.283,0.935,0.529,1.0,27.82,55.29
0.703,0.283,0.935,0.529,1.0,28.81,54.55
0.703,0.267,0.935,0.529,1.0,27.83,55.59
0.703,0.267,0.935,0.529,1.0,26.12,56.45
0.704,0.283,0.935,0.529,1.0,28.12,54.89
0.705,0.267,0.935,0.529,1.0,28.29,55.76
0.706,0.283,0.935,0.529,1.0,29.03,55.29
0.706,0.283,0.935,0.529,1.0,29.34,55.02
0.707,0.283,0.935,0.529,1.0,27.86,57.03
0.707,0.267,0.935,0.529,1.0,28.94,55.0
0.709,0.267,0.935,0.529,1.0,28.89,55.82
0.707,0.3,0.935,0.529,1.0,28.76,55.78
0.708,0.317,0.935,0.521,1.0,29.48,55.03
0.708,0.3,0.935,0.529,1.0,30.27,54.48
0.706,0.3,0.935,0.521,1.0,30.08,54.69
0.707,0.317,0.935,0.521,1.0,29.35,55.92
0.708,0.333,0.935,0.521,1.0,29.79,54.8
0.707,0.333,0.932,0.529,1.0,30.53,54.35
0.707,0.317,0.935,0.521,1.0,30.41,54.17
0.706,0.283,0.935,0.521,1.0,30.09,54.61
0.706,0.267,0.935,0.521,1.0,30.45,54.2
0.707,0.35,0.935,0.521,1.0,29.78,54.59
0.708,0.383,0.932,0.521,1.0,29.37,56.02
0.708,0.4,0.932,0.521,1.0,30.22,54.09
0.709,0.417,0.932,0.521,1.0,29.97,54.86
0.709,0.417,0.932,0.521,1.0,29.69,54.98
0.709,0.433,0.932,0.521,1.0,29.47,55.41
0.711,0.483,0.935,0.512,1.0,30.68,53.56
0.711,0.5,0.932,0.512,1.0,29.79,55.01
0.709,0.467,0.935,0.521,1.0,30.64,54.49
0.706,0.433,0.935,0.521,1.0,29.26,55.78
0.705,0.417,0.935,0.521,1.0,27.3,56.23
0.709,0.383,0.932,0.521,1.0,27.79,56.21
0.707,0.383,0.935,0.521,1.0,26.83,54.03
0.701,0.45,0.935,0.521,1.0,25.95,58.72
0.698,0.417,0.935,0.521,1.0,27.9,54.79
0.699,0.333,0.932,0.521,1.0,29.72,54.57
0.703,0.4,0.935,0.521,1.0,29.38,54.23
0.703,0.333,0.932,0.512,1.0,29.33,55.17
0.704,0.333,0.932,0.512,1.0,29.84,54.11
0.712,0.85,0.932,0.512,1.0,30.83,53.92
0.721,1.0,0.932,0.512,1.0,31.46,53.18
0.724,0.95,0.932,0.512,1.0,30.73,53.79
0.723,1.0,0.932,0.512,1.0,31.57,52.6
0.719,0.9,0.932,0.512,1.0,31.64,52.35
0.717,0.767,0.932,0.504,1.0,31.47,53.12
0.717,0.733,0.932,0.512,1.0,32.26,52.39
0.715,0.683,0.932,0.504,1.0,31.1,53.51
0.715,0.667,0.932,0.504,1.0,32.55,52.59
0.714,0.667,0.932,0.512,1.0,31.28,52.45
0.714,0.65,0.932,0.512,1.0,30.56,53.52
0.714,0.6,0.932,0.512,1.0,31.72,51.26
0.713,0.567,0.932,0.504,1.0,31.24,52.96
0.713,0.55,0.932,0.504,1.0,31.51,53.17
0.714,0.567,0.932,0.504,1.0,31.13,52.17
0.715,0.567,0.932,0.504,1.0,32.71,51.55
0.714,0.55,0.932,0.504,1.0,33.45,51.01
0.713,0.533,0.932,0.504,1.0,32.2,51.32
0.714,0.55,0.93,0.504,1.0,32.98,50.78
0.714,0.55,0.932,0.504,1.0,32.03,51.67
0.714,0.55,0.932,0.504,1.0,32.38,51.44
0.713,0.533,0.932,0.504,1.0,32.22,51.99
0.712,0.567,0.932,0.504,1.0,31.58,52.67
0.712,0.583,0.932,0.504,1.0,32.47,51.61
